AOI_ID,AOI_geometry_hash,GEE_collection_ID,acquisition_datetime,exclusion_reason,experiment_design_hash,included,manifest_version,nominal_date,platform,processing_baseline_if_available,processing_version,product_version,query_config_hash,sensor,source_manifest_hash,support_end,support_midpoint,support_start,system:id,system:index,system:time_start,window_end,window_start,year
AOI-00,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,MODIS/061/MOD09Q1,2021-07-04T00:00:00+00:00,,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,True,source-scenes-v1,2021-07-20,Terra MODIS,,061,061,abb69c87977c12abcc39e2c9c68a76b673d623523c73cc749f6c3c8ab28ae1f8,modis,33beba1fab8fb8e1cafadac6c90c6425b98634ac9e529438d27905e5eb9c23dd,2021-07-11,2021-07-07,2021-07-04,MODIS/061/MOD09Q1/2021_07_04,,1625356800000,2021-08-04,2021-07-05,2021
AOI-00,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,MODIS/061/MOD09Q1,2021-07-12T00:00:00+00:00,,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,True,source-scenes-v1,2021-07-20,Terra MODIS,,061,061,abb69c87977c12abcc39e2c9c68a76b673d623523c73cc749f6c3c8ab28ae1f8,modis,33beba1fab8fb8e1cafadac6c90c6425b98634ac9e529438d27905e5eb9c23dd,2021-07-19,2021-07-15,2021-07-12,MODIS/061/MOD09Q1/2021_07_12,,1626048000000,2021-08-04,2021-07-05,2021
AOI-00,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,MODIS/061/MOD09Q1,2021-07-20T00:00:00+00:00,,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,True,source-scenes-v1,2021-07-20,Terra MODIS,,061,061,abb69c87977c12abcc39e2c9c68a76b673d623523c73cc749f6c3c8ab28ae1f8,modis,33beba1fab8fb8e1cafadac6c90c6425b98634ac9e529438d27905e5eb9c23dd,2021-07-27,2021-07-23,2021-07-20,MODIS/061/MOD09Q1/2021_07_20,,1626739200000,2021-08-04,2021-07-05,2021
AOI-00,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,MODIS/061/MOD09Q1,2021-07-28T00:00:00+00:00,,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,True,source-scenes-v1,2021-07-20,Terra MODIS,,061,061,abb69c87977c12abcc39e2c9c68a76b673d623523c73cc749f6c3c8ab28ae1f8,modis,33beba1fab8fb8e1cafadac6c90c6425b98634ac9e529438d27905e5eb9c23dd,2021-08-04,2021-07-31,2021-07-28,MODIS/061/MOD09Q1/2021_07_28,,1627430400000,2021-08-04,2021-07-05,2021
AOI-00,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,MODIS/061/MOD09Q1,2021-08-05T00:00:00+00:00,SUPPORT_INTERVAL_OUTSIDE_NOMINAL_WINDOW,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,False,source-scenes-v1,2021-07-20,Terra MODIS,,061,061,abb69c87977c12abcc39e2c9c68a76b673d623523c73cc749f6c3c8ab28ae1f8,modis,33beba1fab8fb8e1cafadac6c90c6425b98634ac9e529438d27905e5eb9c23dd,2021-08-12,2021-08-08,2021-08-05,MODIS/061/MOD09Q1/2021_08_05,,1628121600000,2021-08-04,2021-07-05,2021
AOI-00,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,MODIS/061/MOD09Q1,2021-08-13T00:00:00+00:00,SUPPORT_INTERVAL_OUTSIDE_NOMINAL_WINDOW,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,False,source-scenes-v1,2021-07-20,Terra MODIS,,061,061,abb69c87977c12abcc39e2c9c68a76b673d623523c73cc749f6c3c8ab28ae1f8,modis,33beba1fab8fb8e1cafadac6c90c6425b98634ac9e529438d27905e5eb9c23dd,2021-08-20,2021-08-16,2021-08-13,MODIS/061/MOD09Q1/2021_08_13,,1628812800000,2021-08-04,2021-07-05,2021
AOI-00,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,MODIS/061/MOD09Q1,2021-08-21T00:00:00+00:00,SUPPORT_INTERVAL_OUTSIDE_NOMINAL_WINDOW,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,False,source-scenes-v1,2021-07-20,Terra MODIS,,061,061,abb69c87977c12abcc39e2c9c68a76b673d623523c73cc749f6c3c8ab28ae1f8,modis,33beba1fab8fb8e1cafadac6c90c6425b98634ac9e529438d27905e5eb9c23dd,2021-08-28,2021-08-24,2021-08-21,MODIS/061/MOD09Q1/2021_08_21,,1629504000000,2021-08-04,2021-07-05,2021
AOI-00,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,MODIS/061/MOD09Q1,2021-07-04T00:00:00+00:00,SUPPORT_INTERVAL_OUTSIDE_NOMINAL_WINDOW,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,False,source-scenes-v1,2021-07-31,Terra MODIS,,061,061,1cc1bcd4242f4de46f2d0161e3ec176e4d3bdf52798f21e88d2cd4629fa50f39,modis,e92efc0cffc49693e882bf288eb4880f31d01e34470aaf6cd7bc876029d533e3,2021-07-11,2021-07-07,2021-07-04,MODIS/061/MOD09Q1/2021_07_04,,1625356800000,2021-08-15,2021-07-16,2021
AOI-00,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,MODIS/061/MOD09Q1,2021-07-12T00:00:00+00:00,,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,True,source-scenes-v1,2021-07-31,Terra MODIS,,061,061,1cc1bcd4242f4de46f2d0161e3ec176e4d3bdf52798f21e88d2cd4629fa50f39,modis,e92efc0cffc49693e882bf288eb4880f31d01e34470aaf6cd7bc876029d533e3,2021-07-19,2021-07-15,2021-07-12,MODIS/061/MOD09Q1/2021_07_12,,1626048000000,2021-08-15,2021-07-16,2021
AOI-00,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,MODIS/061/MOD09Q1,2021-07-20T00:00:00+00:00,,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,True,source-scenes-v1,2021-07-31,Terra MODIS,,061,061,1cc1bcd4242f4de46f2d0161e3ec176e4d3bdf52798f21e88d2cd4629fa50f39,modis,e92efc0cffc49693e882bf288eb4880f31d01e34470aaf6cd7bc876029d533e3,2021-07-27,2021-07-23,2021-07-20,MODIS/061/MOD09Q1/2021_07_20,,1626739200000,2021-08-15,2021-07-16,2021
