sensitivity,variant,AOI,sensor,target_year,contrast,history_left,history_right,paired_block_n,mean_difference_RMSE,t,p,Holm_adjusted_p,significant
spatial_aggregation_order,reflectance_first,AOI-01,sentinel2,2024,1y_vs_3y,1,3,35,-5.061668133707285e-06,-3.1751731626901503,0.00317649486100258,0.00317649486100258,True
spatial_aggregation_order,reflectance_first,AOI-01,sentinel2,2024,2y_vs_3y,2,3,35,3.629011813106923e-05,10.410490574523218,4.12234664538867e-12,1.236703993616601e-11,True
spatial_aggregation_order,reflectance_first,AOI-01,sentinel2,2025,1y_vs_2y,1,2,35,6.672740830451411e-06,3.242804780681688,0.0026533526994187147,0.007960058098256144,True
spatial_aggregation_order,reflectance_first,AOI-01,sentinel2,2025,1y_vs_3y,1,3,35,4.319579544578345e-06,1.1777965641780108,0.24705628664469836,0.49411257328939673,False
spatial_aggregation_order,reflectance_first,AOI-01,sentinel2,2025,2y_vs_3y,2,3,35,-2.353161285873065e-06,-0.8482110406925412,0.40225264239390185,0.49411257328939673,False
spatial_aggregation_order,reflectance_first,AOI-02,landsat,2024,1y_vs_2y,1,2,30,-3.894282125021173e-05,-0.026103530211751498,0.9793535632383289,1.0,False
spatial_aggregation_order,reflectance_first,AOI-02,landsat,2024,1y_vs_3y,1,3,30,-0.0008430156727453405,-0.43043488238617844,0.6700614615091435,1.0,False
spatial_aggregation_order,reflectance_first,AOI-02,landsat,2024,2y_vs_3y,2,3,30,-0.0008040728514951287,-1.664914024240576,0.1066990070299481,0.3200970210898443,False
spatial_aggregation_order,reflectance_first,AOI-02,landsat,2025,1y_vs_2y,1,2,36,-0.004415642805787256,-7.83516718671361,3.3033151648457205e-09,9.909945494537162e-09,True
spatial_aggregation_order,reflectance_first,AOI-02,landsat,2025,1y_vs_3y,1,3,36,0.0005455681582301617,2.2147359074850788,0.033382839406126706,0.033382839406126706,True
spatial_aggregation_order,reflectance_first,AOI-02,landsat,2025,2y_vs_3y,2,3,36,0.004961210964017418,6.979777184597862,4.057120176250989e-08,8.114240352501979e-08,True
spatial_aggregation_order,reflectance_first,AOI-02,modis,2024,1y_vs_2y,1,2,38,0.004900473320625421,6.651729363158729,8.287673966405502e-08,2.486302189921651e-07,True
spatial_aggregation_order,reflectance_first,AOI-02,modis,2024,1y_vs_3y,1,3,38,0.00508902523607837,6.248219950673933,2.8979435745567713e-07,5.795887149113543e-07,True
spatial_aggregation_order,reflectance_first,AOI-02,modis,2024,2y_vs_3y,2,3,38,0.00018855191545294836,1.7484365142668996,0.08868218431688764,0.08868218431688764,False
spatial_aggregation_order,reflectance_first,AOI-02,modis,2025,1y_vs_2y,1,2,38,0.003650389421598093,13.365902682010702,9.79413605775046e-16,2.5855501588867283e-15,True
spatial_aggregation_order,reflectance_first,AOI-02,modis,2025,1y_vs_3y,1,3,38,0.002412191456888472,13.421447772197876,8.618500529622428e-16,2.5855501588867283e-15,True
spatial_aggregation_order,reflectance_first,AOI-02,modis,2025,2y_vs_3y,2,3,38,-0.0012381979647096205,-11.369295341472172,1.2403610397882058e-13,1.2403610397882058e-13,True
spatial_aggregation_order,reflectance_first,AOI-02,sentinel2,2024,1y_vs_2y,1,2,38,-0.00012208116286966625,-0.09133626176640033,0.9277181152397606,0.950534504510332,False
spatial_aggregation_order,reflectance_first,AOI-02,sentinel2,2024,1y_vs_3y,1,3,38,0.0005670439401560768,1.4368327544509678,0.1591683442370517,0.4775050327111551,False
