sensitivity,variant,experiment,AOI,sensor,train_years,target_year,rolling_id,history_length,slope,intercept,train_n,train_block_n
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,rolling_origin,AOI-00,landsat,2023,2024,R2024-H1,1,0.8613305584425672,-0.0021525533660406992,12841,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,rolling_origin,AOI-00,landsat,2022;2023,2024,R2024-H2,2,0.8498933218618941,0.009042865278507839,26000,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,rolling_origin,AOI-00,landsat,2021;2022;2023,2024,R2024-H3,3,0.8153871606036369,0.02779371177301504,38679,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,rolling_origin,AOI-00,landsat,2024,2025,R2025-H1,1,0.7898189829121377,0.025899763643027374,18920,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,rolling_origin,AOI-00,landsat,2023;2024,2025,R2025-H2,2,0.8205371652514329,0.013459316849945502,31761,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,rolling_origin,AOI-00,landsat,2022;2023;2024,2025,R2025-H3,3,0.8168401225831681,0.020725772215602234,44920,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,rolling_origin,AOI-00,modis,2023,2024,R2024-H1,1,0.9473292618979152,-0.0814248949855989,20043,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,rolling_origin,AOI-00,modis,2022;2023,2024,R2024-H2,2,0.9693154995005443,-0.09955184818107021,30775,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,rolling_origin,AOI-00,modis,2021;2022;2023,2024,R2024-H3,3,0.9591669569317681,-0.09169891045762812,42586,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,rolling_origin,AOI-00,modis,2024,2025,R2025-H1,1,0.879818584535097,-0.04778493581239729,16212,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,rolling_origin,AOI-00,modis,2023;2024,2025,R2025-H2,2,0.9231765083984462,-0.07005945499690869,36255,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,rolling_origin,AOI-00,modis,2022;2023;2024,2025,R2025-H3,3,0.9413932783163945,-0.08345240320736791,46987,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,rolling_origin,AOI-00,sentinel2,2023,2024,R2024-H1,1,0.6734580700077741,0.1333545988857463,13486,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,rolling_origin,AOI-00,sentinel2,2022;2023,2024,R2024-H2,2,0.6499712055659811,0.1496767472984079,19414,39
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,rolling_origin,AOI-00,sentinel2,2021;2022;2023,2024,R2024-H3,3,0.6070790039874876,0.1888226104821586,31782,39
