AOI_ID,FCOVER_cell_id,block_col,block_crs,block_id,block_row,block_size_m,cell_center_lat,cell_center_lon,cell_center_x_m,cell_center_y_m,cell_col,cell_row,development_reserve_assignment
AOI-00,AOI-00_r0000_c0031,2,EPSG:32647,AOI-00_b_2_5,5,5000,38.151785714295215,99.40773809650773,535724.4768118123,4222734.703595315,31,0,development
AOI-00,AOI-00_r0000_c0032,2,EPSG:32647,AOI-00_b_2_5,5,5000,38.151785714295215,99.41071428698393,535985.2404805964,4222735.854146317,32,0,development
AOI-00,AOI-00_r0000_c0033,2,EPSG:32647,AOI-00_b_2_5,5,5000,38.151785714295215,99.41369047746014,536246.0041726202,4222737.013065356,33,0,development
AOI-00,AOI-00_r0000_c0034,2,EPSG:32647,AOI-00_b_2_5,5,5000,38.151785714295215,99.41666666793634,536506.7678880508,4222738.180352439,34,0,development
AOI-00,AOI-00_r0000_c0035,2,EPSG:32647,AOI-00_b_2_5,5,5000,38.151785714295215,99.41964285841254,536767.5316270565,4222739.356007578,35,0,development
AOI-00,AOI-00_r0000_c0036,2,EPSG:32647,AOI-00_b_2_5,5,5000,38.151785714295215,99.42261904888875,537028.2953898059,4222740.540030779,36,0,development
AOI-00,AOI-00_r0000_c0037,2,EPSG:32647,AOI-00_b_2_5,5,5000,38.151785714295215,99.42559523936495,537289.0591764671,4222741.732422052,37,0,development
AOI-00,AOI-00_r0000_c0038,2,EPSG:32647,AOI-00_b_2_5,5,5000,38.151785714295215,99.42857142984116,537549.8229872086,4222742.933181403,38,0,development
AOI-00,AOI-00_r0000_c0039,2,EPSG:32647,AOI-00_b_2_5,5,5000,38.151785714295215,99.43154762031736,537810.5868221988,4222744.142308844,39,0,development
AOI-00,AOI-00_r0000_c0040,2,EPSG:32647,AOI-00_b_2_5,5,5000,38.151785714295215,99.43452381079356,538071.3506816061,4222745.359804384,40,0,development
AOI-00,AOI-00_r0000_c0041,2,EPSG:32647,AOI-00_b_2_5,5,5000,38.151785714295215,99.43750000126977,538332.1145655975,4222746.585668031,41,0,development
AOI-00,AOI-00_r0000_c0042,2,EPSG:32647,AOI-00_b_2_5,5,5000,38.151785714295215,99.44047619174597,538592.8784743438,4222747.819899795,42,0,development
AOI-00,AOI-00_r0000_c0043,2,EPSG:32647,AOI-00_b_2_5,5,5000,38.151785714295215,99.44345238222218,538853.6424080123,4222749.0624996815,43,0,development
AOI-00,AOI-00_r0000_c0044,2,EPSG:32647,AOI-00_b_2_5,5,5000,38.151785714295215,99.44642857269838,539114.4063667712,4222750.313467703,44,0,development
AOI-00,AOI-00_r0000_c0045,2,EPSG:32647,AOI-00_b_2_5,5,5000,38.151785714295215,99.44940476317458,539375.1703507889,4222751.572803869,45,0,development
AOI-00,AOI-00_r0000_c0046,2,EPSG:32647,AOI-00_b_2_5,5,5000,38.151785714295215,99.45238095365079,539635.9343602337,4222752.840508186,46,0,development
AOI-00,AOI-00_r0000_c0047,2,EPSG:32647,AOI-00_b_2_5,5,5000,38.151785714295215,99.45535714412699,539896.6983952742,4222754.116580666,47,0,development
AOI-00,AOI-00_r0000_c0048,3,EPSG:32647,AOI-00_b_3_5,5,5000,38.151785714295215,99.4583333346032,540157.4624560786,4222755.401021318,48,0,development
AOI-00,AOI-00_r0000_c0049,3,EPSG:32647,AOI-00_b_3_5,5,5000,38.151785714295215,99.4613095250794,540418.2265428152,4222756.69383015,49,0,development
AOI-00,AOI-00_r0000_c0050,3,EPSG:32647,AOI-00_b_3_5,5,5000,38.151785714295215,99.4642857155556,540678.9906556513,4222757.995007172,50,0,development
AOI-00,AOI-00_r0000_c0051,3,EPSG:32647,AOI-00_b_3_5,5,5000,38.151785714295215,99.46726190603181,540939.7547947575,4222759.304552397,51,0,development
AOI-00,AOI-00_r0000_c0052,3,EPSG:32647,AOI-00_b_3_5,5,5000,38.151785714295215,99.47023809650801,541200.5189603011,4222760.622465829,52,0,development
AOI-00,AOI-00_r0000_c0053,3,EPSG:32647,AOI-00_b_3_5,5,5000,38.151785714295215,99.47321428698422,541461.2831524503,4222761.948747482,53,0,development
AOI-00,AOI-00_r0000_c0054,3,EPSG:32647,AOI-00_b_3_5,5,5000,38.151785714295215,99.47619047746042,541722.0473713736,4222763.283397363,54,0,development
AOI-00,AOI-00_r0000_c0055,3,EPSG:32647,AOI-00_b_3_5,5,5000,38.151785714295215,99.47916666793662,541982.8116172393,4222764.626415485,55,0,development
AOI-00,AOI-00_r0000_c0056,3,EPSG:32647,AOI-00_b_3_5,5,5000,38.151785714295215,99.48214285841283,542243.5758902157,4222765.977801855,56,0,development
AOI-00,AOI-00_r0000_c0057,3,EPSG:32647,AOI-00_b_3_5,5,5000,38.151785714295215,99.48511904888903,542504.3401904713,4222767.337556483,57,0,development
AOI-00,AOI-00_r0000_c0058,3,EPSG:32647,AOI-00_b_3_5,5,5000,38.151785714295215,99.48809523936524,542765.1045181742,4222768.705679382,58,0,development
AOI-00,AOI-00_r0000_c0059,3,EPSG:32647,AOI-00_b_3_5,5,5000,38.151785714295215,99.49107142984144,543025.8688734919,4222770.082170559,59,0,development
AOI-00,AOI-00_r0000_c0060,3,EPSG:32647,AOI-00_b_3_5,5,5000,38.151785714295215,99.49404762031764,543286.6332565949,4222771.467030026,60,0,development
AOI-00,AOI-00_r0000_c0061,3,EPSG:32647,AOI-00_b_3_5,5,5000,38.151785714295215,99.49702381079385,543547.3976676504,4222772.860257791,61,0,development
AOI-00,AOI-00_r0000_c0062,3,EPSG:32647,AOI-00_b_3_5,5,5000,38.151785714295215,99.50000000127005,543808.1621068267,4222774.261853868,62,0,development
AOI-00,AOI-00_r0000_c0063,3,EPSG:32647,AOI-00_b_3_5,5,5000,38.151785714295215,99.50297619174626,544068.9265742922,4222775.671818263,63,0,development
AOI-00,AOI-00_r0000_c0064,3,EPSG:32647,AOI-00_b_3_5,5,5000,38.151785714295215,99.50595238222246,544329.6910702153,4222777.09015099,64,0,development
AOI-00,AOI-00_r0000_c0065,3,EPSG:32647,AOI-00_b_3_5,5,5000,38.151785714295215,99.50892857269866,544590.4555947643,4222778.516852058,65,0,development
AOI-00,AOI-00_r0000_c0066,3,EPSG:32647,AOI-00_b_3_5,5,5000,38.151785714295215,99.51190476317487,544851.2201481076,4222779.951921476,66,0,development
AOI-00,AOI-00_r0000_c0067,4,EPSG:32647,AOI-00_b_4_5,5,5000,38.151785714295215,99.51488095365107,545111.9847304134,4222781.395359257,67,0,development
AOI-00,AOI-00_r0000_c0068,4,EPSG:32647,AOI-00_b_4_5,5,5000,38.151785714295215,99.51785714412728,545372.7493418491,4222782.84716541,68,0,development
AOI-00,AOI-00_r0000_c0069,4,EPSG:32647,AOI-00_b_4_5,5,5000,38.151785714295215,99.52083333460348,545633.5139825852,4222784.307339948,69,0,development
