sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,slope,intercept,train_n,train_block_n
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-02,landsat,2023,2025,W2023,1.0008740019741795,-0.08271797343493792,581,6
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-02,landsat,2024,2025,W2024,1.0136239496999098,-0.0890809956309846,1521,30
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,0.9661132222807101,-0.07377765225632299,1550,6
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-02,landsat,2023;2024,2025,W2023_2024,0.9819108407963006,-0.06466252598241873,1097,6
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-02,landsat,2022;2023;2024,2025,W2022_2024,0.9600352665543723,-0.06390468937935878,2066,6
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-02,modis,2022,2025,W2022,1.0139772723692282,-0.09656087553166415,10412,38
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-02,modis,2023,2025,W2023,1.0508661202525462,-0.14501932471392687,2351,31
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-02,modis,2024,2025,W2024,1.1023545865039992,-0.13516002409519512,11497,38
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-02,modis,2022;2023,2025,W2022_2023,1.007312870016364,-0.09640237332830254,12160,31
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-02,modis,2023;2024,2025,W2023_2024,1.0855528539553627,-0.13248260885890528,13359,31
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-02,modis,2022;2023;2024,2025,W2022_2024,1.0588626440950335,-0.11837780913759322,23168,31
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-02,sentinel2,2022,2025,W2022,0.8604729762540086,0.01445797288354489,12476,38
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-02,sentinel2,2023,2025,W2023,0.8686193484654517,0.012634893056683472,3484,36
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-02,sentinel2,2024,2025,W2024,0.845901107842799,0.05366134248002785,15496,38
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-02,sentinel2,2022;2023,2025,W2022_2023,0.8634180279478205,0.01322650750490778,15302,36
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-02,sentinel2,2023;2024,2025,W2023_2024,0.8552458693400452,0.04139524646153675,18099,36
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-02,sentinel2,2022;2023;2024,2025,W2022_2024,0.8651997216361405,0.026236812376418783,29917,36
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-03,landsat,2022,2025,W2022,0.9030669043214218,-0.07915664210563281,10030,35
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-03,landsat,2023,2025,W2023,0.9512361900068829,-0.07268321838949679,8852,35
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-03,landsat,2024,2025,W2024,0.889605834507951,-0.07171354850315076,10134,35
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-03,landsat,2022;2023,2025,W2022_2023,0.925638022220041,-0.07614377371191083,18882,35
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-03,landsat,2023;2024,2025,W2023_2024,0.9146149701796158,-0.07143639918646519,18986,35
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-03,landsat,2022;2023;2024,2025,W2022_2024,0.9116950085663165,-0.07435319239395877,29016,35
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-03,modis,2022,2025,W2022,0.815041142173289,-0.07683581296967648,5224,30
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-03,modis,2023,2025,W2023,0.9841422918695247,-0.11173212323805953,9089,35
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-03,modis,2024,2025,W2024,0.9616340270987686,-0.10390710693171074,12878,35
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-03,modis,2022;2023,2025,W2022_2023,0.9409431810850631,-0.10353107343587004,13793,30
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-03,modis,2023;2024,2025,W2023_2024,0.9693162941047739,-0.10670352279594617,21967,35
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-03,modis,2022;2023;2024,2025,W2022_2024,0.9451733994774643,-0.10236860067712883,25664,30
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-03,sentinel2,2022,2025,W2022,0.84542731192376,-0.035406246207274006,15651,35
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-03,sentinel2,2023,2025,W2023,0.7733040842626465,-0.02408047052271403,7151,35
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-03,sentinel2,2024,2025,W2024,0.847771577654368,-0.035038660591043075,9944,35
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-03,sentinel2,2022;2023,2025,W2022_2023,0.8149409092584796,-0.030836593220070846,22802,35
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-03,sentinel2,2023;2024,2025,W2023_2024,0.8181085389843844,-0.03111829867783869,17095,35
canonical_nonoverlap_primary,nearest_nominal_nonoverlap,multi_aoi,AOI-03,sentinel2,2022;2023;2024,2025,W2022_2024,0.8277882324330165,-0.032655307548079576,32746,35
