execution_id,experiment,AOI,sensor,train_years,target_year,processing_hash,source_manifest_hash,AOI_geometry_hash,block_manifest_hash,code_version,timestamp,window,n,block_n,RMSE,MAE,Bias,R2,Pearson_r,slope,intercept,train_n,run_id
multi_aoi-a6e7fff6cb1a38527b31,multi_aoi,AOI-00,landsat,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:20.450769+00:00,W2023_2024,20251,39,0.0499264728445752,0.0402435700837246,-0.015152883361565,0.7418396842401008,0.8753008071620672,0.8355955161455593,0.0015030395496026,39742,multi_aoi--AOI-00--landsat--W2023_2024
multi_aoi-22c1fddfb8d877b8125b,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:20.582908+00:00,W2022_2024,20251,39,0.0494157986509318,0.0398007839971875,-0.0135648317347084,0.7470938734763888,0.875300807162066,0.8574769860461495,-0.0112924728687063,58330,multi_aoi--AOI-00--landsat--W2022_2024
multi_aoi-3fd42668df20ca8be9a0,multi_aoi,AOI-00,modis,2022,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:20.780379+00:00,W2022,20256,39,0.0388981351378991,0.0308910183336295,-0.001436257074586,0.8441264220036429,0.9189381442753436,1.0173301013686742,-0.1292712163021439,20256,multi_aoi--AOI-00--modis--W2022
multi_aoi-4da35621bb9ba008581b,multi_aoi,AOI-00,modis,2023,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:20.849169+00:00,W2023,20256,39,0.038945820560779,0.0311352127045507,0.0005907677546352,0.8437440153165496,0.9189381442753428,0.977655307475334,-0.100192734703512,20256,multi_aoi--AOI-00--modis--W2023
multi_aoi-dd61b8e5102f6e674406,multi_aoi,AOI-00,modis,2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:20.916778+00:00,W2024,20256,39,0.0432278793099662,0.0336620010550069,-0.0178830782652511,0.8074946500900887,0.918938144275343,0.9366411712572598,-0.0907019204451208,20256,multi_aoi--AOI-00--modis--W2024
multi_aoi-2548119df2ac39ba86e4,multi_aoi,AOI-00,modis,2022;2023,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:20.993829+00:00,W2022_2023,20256,39,0.0388677931786501,0.030956751110787,-0.000584499604653,0.8443695012741552,0.9189381442753438,0.9987877562275846,-0.1157767353605744,40512,multi_aoi--AOI-00--modis--W2022_2023
multi_aoi-e7cf62d64ebe5aa890e3,multi_aoi,AOI-00,modis,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.120502+00:00,W2023_2024,20256,39,0.0400221940366738,0.0314987315064868,-0.0085921556943929,0.8349875435965004,0.9189381442753424,0.958794174558208,-0.0965155756754545,40512,multi_aoi--AOI-00--modis--W2023_2024
multi_aoi-57467b4a18d0a1582c69,multi_aoi,AOI-00,modis,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.258005+00:00,W2022_2024,20256,39,0.0395079324646098,0.0311795790203667,-0.0065798299092691,0.8392009241772134,0.9189381442753416,0.9752383787223315,-0.1057153983201129,60768,multi_aoi--AOI-00--modis--W2022_2024
multi_aoi-9e2f6cda3f3b3509c43d,multi_aoi,AOI-01,sentinel2,2022,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.457567+00:00,W2022,19878,35,0.001324261768048,0.0003503229565036,-0.0001709651314889,0.4225566335891377,0.8388369819179768,0.073623000758823,-0.0021717558867151,19878,multi_aoi--AOI-01--sentinel2--W2022
multi_aoi-3fa9a0c892e31b86d751,multi_aoi,AOI-01,sentinel2,2023,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.528890+00:00,W2023,19878,35,0.0013406903172037,0.000316081907719,-0.0002254337082259,0.4081404491105725,0.8477522178176599,0.0761335147128928,-0.0024567962966337,19729,multi_aoi--AOI-01--sentinel2--W2023
multi_aoi-c974b893530fad9b2ace,multi_aoi,AOI-01,sentinel2,2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.598146+00:00,W2024,19878,35,0.0013951338201383,0.0003259507115386,-0.0002328025825148,0.3590953121375849,0.8470703341120515,0.0644525053410461,-0.002034170005547,19878,multi_aoi--AOI-01--sentinel2--W2024
multi_aoi-affc9c6500dfef269b29,multi_aoi,AOI-01,sentinel2,2022;2023,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.675227+00:00,W2022_2023,19878,35,0.0013385107182646,0.0003311674644508,-0.0002026646824135,0.4100632911333084,0.8451722141893854,0.0734493219968637,-0.0022645884969966,39607,multi_aoi--AOI-01--sentinel2--W2022_2023
