execution_id,experiment,AOI,sensor,train_years,target_year,processing_hash,source_manifest_hash,AOI_geometry_hash,block_manifest_hash,code_version,timestamp,rolling_id,history_length,target_n,target_block_n,RMSE,MAE,Bias,R2,Pearson_r,n,history_length_rank_by_global_RMSE,run_id
rolling_origin-ce58854ce20207e5069d,rolling_origin,AOI-00,landsat,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.343661+00:00,R2025-H2,2,20251,39,0.0499264728445752,0.0402435700837246,-0.015152883361565,0.7418396842401008,0.8753008071620672,20251,2.0,rolling_origin--AOI-00--landsat--R2025-H2
rolling_origin-2181f6b6e0bb0f057e2d,rolling_origin,AOI-00,landsat,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.376024+00:00,R2025-H3,3,20251,39,0.0494157986509318,0.0398007839971875,-0.0135648317347084,0.7470938734763888,0.875300807162066,20251,1.0,rolling_origin--AOI-00--landsat--R2025-H3
rolling_origin-11f50937d0c846a20e4e,rolling_origin,AOI-00,modis,2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.450241+00:00,R2024-H1,1,20256,39,0.0456391266530219,0.0373710501344231,0.0173481737040432,0.7595941942574856,0.8921070756870437,20256,3.0,rolling_origin--AOI-00--modis--R2024-H1
rolling_origin-290191cac79a90db9b7f,rolling_origin,AOI-00,modis,2022;2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.478921+00:00,R2024-H2,2,20256,39,0.045186915379023,0.0369211011553686,0.0155957800970631,0.7643346716066601,0.8921236198273842,20256,2.0,rolling_origin--AOI-00--modis--R2024-H2
rolling_origin-3447a23284ae6c531bc3,rolling_origin,AOI-00,modis,2021;2022;2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.512236+00:00,R2024-H3,3,20256,39,0.0443342892075996,0.0361862643317419,0.0135706108512772,0.7731442449939067,0.8921089734613143,20256,1.0,rolling_origin--AOI-00--modis--R2024-H3
rolling_origin-1e37c4924fd51893ef96,rolling_origin,AOI-00,modis,2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.538416+00:00,R2025-H1,1,20256,39,0.0432278793099662,0.0336620010550069,-0.0178830782652511,0.8074946500900887,0.918938144275343,20256,3.0,rolling_origin--AOI-00--modis--R2025-H1
rolling_origin-dc5f01a0a517946b1599,rolling_origin,AOI-00,modis,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.567566+00:00,R2025-H2,2,20256,39,0.0400221940366738,0.0314987315064868,-0.0085921556943929,0.8349875435965004,0.9189381442753424,20256,2.0,rolling_origin--AOI-00--modis--R2025-H2
rolling_origin-e6c3d366eda005cb8ab1,rolling_origin,AOI-00,modis,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.600876+00:00,R2025-H3,3,20256,39,0.0395079324646098,0.0311795790203667,-0.0065798299092691,0.8392009241772134,0.9189381442753416,20256,1.0,rolling_origin--AOI-00--modis--R2025-H3
rolling_origin-6c5bd88a424b22f1b463,rolling_origin,AOI-01,sentinel2,2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.672400+00:00,R2024-H1,1,19878,35,0.0012625326885275,0.0003825189658106,0.000115875116678,0.3566886020710126,0.721618340955829,19878,2.0,rolling_origin--AOI-01--sentinel2--R2024-H1
rolling_origin-8b841fba2567db142124,rolling_origin,AOI-01,sentinel2,2022;2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.702112+00:00,R2024-H2,2,19878,35,0.0012830108280189,0.000440144195759,0.0001757124296805,0.3356504782832469,0.6966180048661349,19878,3.0,rolling_origin--AOI-01--sentinel2--R2024-H2
