run_id,experiment_family,aoi,sensor,unit,training_years,evaluation_year,execution_status,task_id,start_timestamp,completion_timestamp,validation_status,design_hash,processing_hash
multi_aoi--AOI-00--modis--W2024,multi_aoi,AOI-00,modis,W2024,2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:20.916778+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-00--modis--W2022_2023,multi_aoi,AOI-00,modis,W2022_2023,2022;2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:20.993829+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-00--modis--W2023_2024,multi_aoi,AOI-00,modis,W2023_2024,2023;2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:21.120502+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-00--modis--W2022_2024,multi_aoi,AOI-00,modis,W2022_2024,2022;2023;2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:21.258005+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-01--sentinel2--W2022,multi_aoi,AOI-01,sentinel2,W2022,2022,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:21.457567+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-01--sentinel2--W2023,multi_aoi,AOI-01,sentinel2,W2023,2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:21.528890+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-01--sentinel2--W2024,multi_aoi,AOI-01,sentinel2,W2024,2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:21.598146+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-01--sentinel2--W2022_2023,multi_aoi,AOI-01,sentinel2,W2022_2023,2022;2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:21.675227+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-01--sentinel2--W2023_2024,multi_aoi,AOI-01,sentinel2,W2023_2024,2023;2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:21.798500+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-01--sentinel2--W2022_2024,multi_aoi,AOI-01,sentinel2,W2022_2024,2022;2023;2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:21.928427+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-01--landsat--W2022,multi_aoi,AOI-01,landsat,W2022,2022,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:22.126940+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-01--landsat--W2023,multi_aoi,AOI-01,landsat,W2023,2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:22.193528+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-01--landsat--W2024,multi_aoi,AOI-01,landsat,W2024,2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:22.261468+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-01--landsat--W2022_2023,multi_aoi,AOI-01,landsat,W2022_2023,2022;2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:22.338220+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-01--landsat--W2023_2024,multi_aoi,AOI-01,landsat,W2023_2024,2023;2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:22.463921+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-01--landsat--W2022_2024,multi_aoi,AOI-01,landsat,W2022_2024,2022;2023;2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:22.594652+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-01--modis--W2022,multi_aoi,AOI-01,modis,W2022,2022,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:22.791895+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-01--modis--W2023,multi_aoi,AOI-01,modis,W2023,2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:22.862924+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-01--modis--W2024,multi_aoi,AOI-01,modis,W2024,2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:22.930390+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-01--modis--W2022_2023,multi_aoi,AOI-01,modis,W2022_2023,2022;2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:23.006900+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-01--modis--W2023_2024,multi_aoi,AOI-01,modis,W2023_2024,2023;2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:23.128918+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-01--modis--W2022_2024,multi_aoi,AOI-01,modis,W2022_2024,2022;2023;2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:23.262204+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-02--sentinel2--W2022,multi_aoi,AOI-02,sentinel2,W2022,2022,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:23.462762+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-02--sentinel2--W2023,multi_aoi,AOI-02,sentinel2,W2023,2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:23.525132+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-02--sentinel2--W2024,multi_aoi,AOI-02,sentinel2,W2024,2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:23.582443+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-02--sentinel2--W2022_2023,multi_aoi,AOI-02,sentinel2,W2022_2023,2022;2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:23.652145+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-02--sentinel2--W2023_2024,multi_aoi,AOI-02,sentinel2,W2023_2024,2023;2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:23.760675+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-02--sentinel2--W2022_2024,multi_aoi,AOI-02,sentinel2,W2022_2024,2022;2023;2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:23.877248+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-02--landsat--W2022,multi_aoi,AOI-02,landsat,W2022,2022,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:24.052949+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-02--landsat--W2023,multi_aoi,AOI-02,landsat,W2023,2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:24.108038+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-02--landsat--W2024,multi_aoi,AOI-02,landsat,W2024,2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:24.145288+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-02--landsat--W2022_2023,multi_aoi,AOI-02,landsat,W2022_2023,2022;2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:24.192264+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-02--landsat--W2023_2024,multi_aoi,AOI-02,landsat,W2023_2024,2023;2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:24.248437+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-02--landsat--W2022_2024,multi_aoi,AOI-02,landsat,W2022_2024,2022;2023;2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:24.301602+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-02--modis--W2022,multi_aoi,AOI-02,modis,W2022,2022,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:24.416015+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-02--modis--W2023,multi_aoi,AOI-02,modis,W2023,2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:24.479312+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-02--modis--W2024,multi_aoi,AOI-02,modis,W2024,2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:24.538061+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-02--modis--W2022_2023,multi_aoi,AOI-02,modis,W2022_2023,2022;2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:24.610516+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-02--modis--W2023_2024,multi_aoi,AOI-02,modis,W2023_2024,2023;2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:24.718494+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-02--modis--W2022_2024,multi_aoi,AOI-02,modis,W2022_2024,2022;2023;2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:24.843625+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-03--sentinel2--W2022,multi_aoi,AOI-03,sentinel2,W2022,2022,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:25.018593+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-03--sentinel2--W2023,multi_aoi,AOI-03,sentinel2,W2023,2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:25.083784+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-03--sentinel2--W2024,multi_aoi,AOI-03,sentinel2,W2024,2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:25.147377+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-03--sentinel2--W2022_2023,multi_aoi,AOI-03,sentinel2,W2022_2023,2022;2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:25.219182+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-03--sentinel2--W2023_2024,multi_aoi,AOI-03,sentinel2,W2023_2024,2023;2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:25.332765+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-03--sentinel2--W2022_2024,multi_aoi,AOI-03,sentinel2,W2022_2024,2022;2023;2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:25.457475+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-03--landsat--W2022,multi_aoi,AOI-03,landsat,W2022,2022,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:25.643548+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-03--landsat--W2023,multi_aoi,AOI-03,landsat,W2023,2023,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:25.702681+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
multi_aoi--AOI-03--landsat--W2024,multi_aoi,AOI-03,landsat,W2024,2024,2025,COMPLETED,local-runner:20_run_multi_aoi_experiment.py,2026-08-11T15:27:25.758773+00:00,2026-08-29T05:02:58.814541+00:00,VALIDATED,b21c8cc7f3d4d35e1db4dfa1c8245ff10ba657c0a0a001992b552808766cc49b,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7
