execution_id,experiment,AOI,sensor,train_years,target_year,processing_hash,source_manifest_hash,AOI_geometry_hash,block_manifest_hash,code_version,timestamp,window,slope,intercept,train_n,train_block_n,run_id,experiment_family,rolling_id,history_length
multi_aoi-a6e7fff6cb1a38527b31,multi_aoi,AOI-00,landsat,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:20.450769+00:00,W2023_2024,0.8355955161455593,0.0015030395496026,39742,39,multi_aoi--AOI-00--landsat--W2023_2024,multi_aoi,,
multi_aoi-22c1fddfb8d877b8125b,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:20.582908+00:00,W2022_2024,0.8574769860461495,-0.0112924728687063,58330,39,multi_aoi--AOI-00--landsat--W2022_2024,multi_aoi,,
multi_aoi-3fd42668df20ca8be9a0,multi_aoi,AOI-00,modis,2022,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:20.780379+00:00,W2022,1.0173301013686742,-0.1292712163021439,20256,39,multi_aoi--AOI-00--modis--W2022,multi_aoi,,
multi_aoi-4da35621bb9ba008581b,multi_aoi,AOI-00,modis,2023,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:20.849169+00:00,W2023,0.977655307475334,-0.100192734703512,20256,39,multi_aoi--AOI-00--modis--W2023,multi_aoi,,
multi_aoi-dd61b8e5102f6e674406,multi_aoi,AOI-00,modis,2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:20.916778+00:00,W2024,0.9366411712572598,-0.0907019204451208,20256,39,multi_aoi--AOI-00--modis--W2024,multi_aoi,,
multi_aoi-2548119df2ac39ba86e4,multi_aoi,AOI-00,modis,2022;2023,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:20.993829+00:00,W2022_2023,0.9987877562275846,-0.1157767353605744,40512,39,multi_aoi--AOI-00--modis--W2022_2023,multi_aoi,,
multi_aoi-e7cf62d64ebe5aa890e3,multi_aoi,AOI-00,modis,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.120502+00:00,W2023_2024,0.958794174558208,-0.0965155756754545,40512,39,multi_aoi--AOI-00--modis--W2023_2024,multi_aoi,,
multi_aoi-57467b4a18d0a1582c69,multi_aoi,AOI-00,modis,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.258005+00:00,W2022_2024,0.9752383787223315,-0.1057153983201129,60768,39,multi_aoi--AOI-00--modis--W2022_2024,multi_aoi,,
multi_aoi-9e2f6cda3f3b3509c43d,multi_aoi,AOI-01,sentinel2,2022,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.457567+00:00,W2022,0.073623000758823,-0.0021717558867151,19878,35,multi_aoi--AOI-01--sentinel2--W2022,multi_aoi,,
multi_aoi-3fa9a0c892e31b86d751,multi_aoi,AOI-01,sentinel2,2023,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43,2026-08-11T15:27:21.528890+00:00,W2023,0.0761335147128928,-0.0024567962966337,19729,35,multi_aoi--AOI-01--sentinel2--W2023,multi_aoi,,
