execution_id,experiment,AOI,sensor,train_years,target_year,processing_hash,source_manifest_hash,AOI_geometry_hash,block_manifest_hash,code_version,timestamp,rolling_id,history_length,block_id,block_rmse,block_mae,block_bias,block_n,run_id
rolling_origin-c24cf32cd0b4030fa5a4,rolling_origin,AOI-00,sentinel2,2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.001853+00:00,R2024-H1,1,AOI-00_b_2_2,0.0496869411228562,0.0361869809486315,-0.0228534823726333,588,rolling_origin--AOI-00--sentinel2--R2024-H1
rolling_origin-c24cf32cd0b4030fa5a4,rolling_origin,AOI-00,sentinel2,2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.001853+00:00,R2024-H1,1,AOI-00_b_2_3,0.0481115573178865,0.0370023437091843,-0.0289682552384846,472,rolling_origin--AOI-00--sentinel2--R2024-H1
rolling_origin-c24cf32cd0b4030fa5a4,rolling_origin,AOI-00,sentinel2,2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.001853+00:00,R2024-H1,1,AOI-00_b_2_4,0.0897958768585512,0.0713243186096042,-0.0672827734646612,522,rolling_origin--AOI-00--sentinel2--R2024-H1
rolling_origin-c24cf32cd0b4030fa5a4,rolling_origin,AOI-00,sentinel2,2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.001853+00:00,R2024-H1,1,AOI-00_b_2_5,0.0784116781198523,0.070101129072965,-0.0700422146919975,176,rolling_origin--AOI-00--sentinel2--R2024-H1
rolling_origin-c24cf32cd0b4030fa5a4,rolling_origin,AOI-00,sentinel2,2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.001853+00:00,R2024-H1,1,AOI-00_b_3_0,0.0541931007902391,0.0421075205707963,0.0242970339662962,45,rolling_origin--AOI-00--sentinel2--R2024-H1
rolling_origin-c24cf32cd0b4030fa5a4,rolling_origin,AOI-00,sentinel2,2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.001853+00:00,R2024-H1,1,AOI-00_b_3_1,0.0604685814637862,0.0527319556735728,0.0212172445976176,533,rolling_origin--AOI-00--sentinel2--R2024-H1
rolling_origin-c24cf32cd0b4030fa5a4,rolling_origin,AOI-00,sentinel2,2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.001853+00:00,R2024-H1,1,AOI-00_b_3_2,0.0584579454962703,0.0490436971661788,0.0195582844778491,758,rolling_origin--AOI-00--sentinel2--R2024-H1
rolling_origin-c24cf32cd0b4030fa5a4,rolling_origin,AOI-00,sentinel2,2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.001853+00:00,R2024-H1,1,AOI-00_b_3_3,0.0523554030410675,0.0377762440265252,-0.0183968033030989,630,rolling_origin--AOI-00--sentinel2--R2024-H1
rolling_origin-c24cf32cd0b4030fa5a4,rolling_origin,AOI-00,sentinel2,2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.001853+00:00,R2024-H1,1,AOI-00_b_3_4,0.0467971279077477,0.0384298242354744,-0.033092847263877,566,rolling_origin--AOI-00--sentinel2--R2024-H1
rolling_origin-c24cf32cd0b4030fa5a4,rolling_origin,AOI-00,sentinel2,2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.001853+00:00,R2024-H1,1,AOI-00_b_3_5,0.056954169375903,0.0470710904979543,-0.0367093701185705,153,rolling_origin--AOI-00--sentinel2--R2024-H1
