AOI,sensor,rolling_id,target_year,history_length,primary_n,primary_target_n,primary_RMSE,primary_MAE,primary_Bias,primary_R2,primary_Pearson_r,primary_slope,primary_intercept,sensitivity_n,sensitivity_target_n,sensitivity_RMSE,sensitivity_MAE,sensitivity_Bias,sensitivity_R2,sensitivity_Pearson_r,sensitivity_slope,sensitivity_intercept,primary_matched_n,primary_matched_target_n,primary_matched_RMSE,primary_matched_MAE,primary_matched_Bias,primary_matched_R2,primary_matched_Pearson_r,primary_matched_slope,primary_matched_intercept,sensitivity_matched_n,sensitivity_matched_target_n,sensitivity_matched_RMSE,sensitivity_matched_MAE,sensitivity_matched_Bias,sensitivity_matched_R2,sensitivity_matched_Pearson_r,sensitivity_matched_slope,sensitivity_matched_intercept,matched_n,retention_fraction,delta_RMSE_operational,delta_RMSE_matched,delta_MAE_operational,delta_MAE_matched,delta_Bias_operational,delta_Bias_matched,delta_slope_operational,delta_slope_matched,delta_intercept_operational,delta_intercept_matched
AOI-00,landsat,R2024-H1,2024,1,20186,20186,0.0533728216406001,0.0434115904109187,0.0227985451994742,0.667898639718175,0.8542145165039157,0.8544793879372266,0.0011015203776342,18920,18920,0.0542160330755278,0.0437617159430832,0.0169635777091307,0.6558046210124928,0.8337866699367015,0.8613305584425672,-0.0021525533660406,18920,18920,0.0534041867801394,0.0433640693893889,0.023867774476683,0.6660356013120015,0.856848235005668,0.8613305584425657,-0.0021525533660397,18920,18920,0.0542160330755278,0.0437617159430832,0.0169635777091307,0.6558046210124928,0.8337866699367015,0.8613305584425672,-0.0021525533660406,18920,0.9372832656296443,0.0008432114349277015,0.0008118462953884062,0.0003501255321644997,0.00039764655369430024,-0.005834967490343502,-0.006904196767552301,0.006851170505340676,1.5543122344752192e-15,-0.0032540737436748002,-8.998878031629687e-16
AOI-00,landsat,R2024-H2,2024,2,20186,20186,0.052239991013891,0.0424381717845947,0.0192725112100116,0.6818466390847546,0.8542145165039182,0.8860855093515934,-0.0225508117090089,18920,18920,0.0554669895597215,0.0448675056412832,0.0209593586172175,0.6397377549615606,0.8337866699367015,0.8498933218618941,0.0090428652785078,18920,18920,0.0533459129424088,0.0433269702335617,0.0232335418000499,0.6667640374277659,0.8568482350056673,0.8872239938178333,-0.0192940260170931,18920,18920,0.0554669895597215,0.0448675056412832,0.0209593586172175,0.6397377549615606,0.8337866699367015,0.8498933218618941,0.0090428652785078,18920,0.9372832656296443,0.0032269985458305006,0.0021210766173127005,0.0024293338566885037,0.001540535407721505,0.0016868474072058992,-0.002274183182832401,-0.03619218748969921,-0.0373306719559392,0.0315936769875167,0.0283368912956009
AOI-00,landsat,R2024-H3,2024,3,20186,20186,0.0519406826048345,0.042224999406104,0.0191439408199023,0.6854819068708957,0.8542145165039171,0.8582634149850384,-0.0049626949558916,18920,18920,0.0541550305470345,0.0437275406326013,0.0179888864187821,0.656578745369888,0.8337866699367011,0.8153871606036369,0.027793711773015,18920,18920,0.0519392183737443,0.0421379900843755,0.020518679611559,0.6841067255438258,0.8568482350056661,0.8516459329799072,0.000672365925613,18920,18920,0.0541550305470345,0.0437275406326013,0.0179888864187821,0.656578745369888,0.8337866699367011,0.8153871606036369,0.027793711773015,18920,0.9372832656296443,0.002214347942200004,0.002215812173290199,0.0015025412264973032,0.0015895505482258002,-0.0011550544011202021,-0.002529793192776901,-0.042876254381401524,-0.03625877237627029,0.032756406728906604,0.027121345847402
AOI-00,landsat,R2025-H1,2025,1,20251,20251,0.0545914869893199,0.0434553527861851,-0.0266209590273057,0.6913419838552175,0.8753008071620639,0.8213424255681432,-0.0005959104544164,20017,20017,0.0564420936508308,0.0458712970417949,-0.0272877164921305,0.6589457461127983,0.8607811944412875,0.7898189829121377,0.0258997636430273,20017,20017,0.0545190651562544,0.0433690072009969,-0.0266215311902341,0.6817898403881015,0.8709496879560623,0.8247297840292268,-0.0026870868982747,20017,20017,0.0564420936508308,0.0458712970417949,-0.0272877164921305,0.6589457461127983,0.8607811944412875,0.7898189829121377,0.0258997636430273,20017,0.9884450150609846,0.0018506066615108993,0.001923028494576401,0.0024159442556098004,0.0025022898407979985,-0.0006667574648248006,-0.0006661853018963999,-0.031523442656005485,-0.03491080111708911,0.0264956740974437,0.028586850541302
AOI-00,landsat,R2025-H2,2025,2,20251,20251,0.0499264728445752,0.0402435700837246,-0.015152883361565,0.7418396842401008,0.8753008071620672,0.8355955161455593,0.0015030395496026,20017,20017,0.0530310819217106,0.0432492653225373,-0.0197504641536073,0.6989225592062891,0.8607811944412884,0.8205371652514329,0.0134593168499455,20017,20017,0.0503948902360802,0.0405140239103064,-0.01677724731718,0.7281118698479166,0.8709496879560615,0.8368114827028112,-0.0007961196000023,20017,20017,0.0530310819217106,0.0432492653225373,-0.0197504641536073,0.6989225592062891,0.8607811944412884,0.8205371652514329,0.0134593168499455,20017,0.9884450150609846,0.0031046090771353965,0.0026361916856303957,0.0030056952388126945,0.0027352414122308946,-0.0045975807920422985,-0.0029732168364272997,-0.015058350894126327,-0.016274317451378306,0.0119562773003429,0.0142554364499478
AOI-00,landsat,R2025-H3,2025,3,20251,20251,0.0494157986509318,0.0398007839971875,-0.0135648317347084,0.7470938734763888,0.875300807162066,0.8574769860461495,-0.0112924728687063,20017,20017,0.0514311399500868,0.042138244427321,-0.0148883960426229,0.7168154590562494,0.8607811944412878,0.8168401225831681,0.0207257722156022,20017,20017,0.0492347512843823,0.0397286968505663,-0.0129878029039112,0.7404860324030976,0.8709496879560616,0.8511369229484604,-0.0064370346440402,20017,20017,0.0514311399500868,0.042138244427321,-0.0148883960426229,0.7168154590562494,0.8607811944412878,0.8168401225831681,0.0207257722156022,20017,0.9884450150609846,0.002015341299155003,0.002196388665704499,0.0023374604301335047,0.0024095475767547045,-0.0013235643079145005,-0.0019005931387116991,-0.040636863462981454,-0.03429680036529237,0.0320182450843085,0.0271628068596424
AOI-00,modis,R2024-H1,2024,1,20256,20256,0.0456391266530219,0.0373710501344231,0.0173481737040432,0.7595941942574856,0.8921070756870437,0.977655307475334,-0.100192734703512,16212,16212,0.0469609231337881,0.037881294005967,0.009768128020213,0.7352680676754622,0.8666623813367541,0.9473292618979152,-0.0814248949855989,16212,16212,0.04663795252942,0.0386249162836935,0.0196382569381416,0.7388968983736703,0.8870761023139372,0.9746527911216444,-0.098147164634848,16212,16212,0.0469609231337881,0.037881294005967,0.009768128020213,0.7352680676754622,0.8666623813367541,0.9473292618979152,-0.0814248949855989,16212,0.8003554502369669,0.0013217964807661978,0.000322970604368103,0.0005102438715439,-0.0007436222777265009,-0.0075800456838302,-0.009870128917928598,-0.030326045577418803,-0.02732352922372916,0.0187678397179131,0.016722269649249097
AOI-00,modis,R2024-H2,2024,2,20256,20256,0.045186915379023,0.0369211011553686,0.0155957800970631,0.7643346716066601,0.8921236198273842,0.9987877562275846,-0.1157767353605744,16212,16212,0.0465865170269773,0.0372497972336459,0.0057805861365,0.7394725052668678,0.8666895600046245,0.9693154995005444,-0.0995518481810702,16212,16212,0.0456084054133174,0.0376078716280735,0.0163431502149879,0.7502975200366195,0.8871057461791739,1.002802294862217,-0.1198064004031853,16212,16212,0.0465865170269773,0.0372497972336459,0.0057805861365,0.7394725052668678,0.8666895600046245,0.9693154995005444,-0.0995518481810702,16212,0.8003554502369669,0.0013996016479543016,0.0009781116136599044,0.0003286960782773046,-0.00035807439442759464,-0.009815193960563101,-0.0105625640784879,-0.029472256727040236,-0.03348679536167265,0.016224887179504197,0.0202545522221151
AOI-00,modis,R2024-H3,2024,3,20256,20256,0.0443342892075996,0.0361862643317419,0.0135706108512772,0.7731442449939067,0.8921089734613143,0.9767703732946386,-0.1033914010245276,16212,16212,0.0466259156172687,0.037397439119613,0.0071070110318137,0.7390316585571604,0.8666782761554294,0.959166956931768,-0.0916989104576281,16212,16212,0.0442530737264748,0.0363642502858094,0.0128717090273395,0.7649176836770337,0.8870879567259116,0.9796804890489966,-0.1081944637658216,16212,16212,0.0466259156172687,0.037397439119613,0.0071070110318137,0.7390316585571604,0.8666782761554294,0.959166956931768,-0.0916989104576281,16212,0.8003554502369669,0.0022916264096690953,0.0023728418907938975,0.0012111747878710971,0.0010331888338036,-0.0064635998194635,-0.005764697995525801,-0.01760341636287055,-0.020513532117228617,0.0116924905668995,0.01649555330819351
AOI-00,modis,R2025-H1,2025,1,20256,20256,0.0432278793099662,0.0336620010550069,-0.0178830782652511,0.8074946500900887,0.918938144275343,0.9366411712572598,-0.0907019204451208,18641,18641,0.0444963977992049,0.0342448811228304,-0.0127998791318279,0.7924045289014423,0.9039382033914616,0.879818584535097,-0.0477849358123972,18641,18641,0.0447127212634664,0.0347966338612722,-0.0206222912777597,0.7903811321593328,0.9164204100718232,0.9312146601959904,-0.0894554582222545,18641,18641,0.0444963977992049,0.0342448811228304,-0.0127998791318279,0.7924045289014423,0.9039382033914616,0.879818584535097,-0.0477849358123972,18641,0.9202705371248026,0.0012685184892386944,-0.00021632346426150167,0.0005828800678235047,-0.0005517527384417964,0.0050831991334232,0.007822412145931802,-0.05682258672216278,-0.05139607566089344,0.04291698463272361,0.041670522409857295
