AOI,sensor,window,primary_n,primary_RMSE,primary_MAE,primary_Bias,primary_R2,primary_Pearson_r,primary_slope,primary_intercept,sensitivity_n,sensitivity_RMSE,sensitivity_MAE,sensitivity_Bias,sensitivity_R2,sensitivity_Pearson_r,sensitivity_slope,sensitivity_intercept,primary_matched_n,primary_matched_RMSE,primary_matched_MAE,primary_matched_Bias,primary_matched_R2,primary_matched_Pearson_r,primary_matched_slope,primary_matched_intercept,sensitivity_matched_n,sensitivity_matched_RMSE,sensitivity_matched_MAE,sensitivity_matched_Bias,sensitivity_matched_R2,sensitivity_matched_Pearson_r,sensitivity_matched_slope,sensitivity_matched_intercept,matched_n,retention_fraction,delta_RMSE_operational,delta_RMSE_matched,delta_MAE_operational,delta_MAE_matched,delta_Bias_operational,delta_Bias_matched,delta_slope_operational,delta_slope_matched,delta_intercept_operational,delta_intercept_matched
AOI-00,landsat,W2022,20251,0.0486036339771582,0.0390026305283235,-0.0085820355760818,0.7553387468902046,0.875300807162066,0.9135300192938256,-0.04315557405183,20017,0.0492297588303295,0.0403013681922729,-0.0010518259242066,0.7405386596973291,0.8607811944412894,0.8526824043574972,0.0112521635751087,20017,0.0478815754626884,0.0387659922071513,-0.0015231374536982,0.7545550482122758,0.8709496879560632,0.9140471829239694,-0.0363858514288211,20017,0.0492297588303295,0.0403013681922729,-0.0010518259242066,0.7405386596973291,0.8607811944412894,0.8526824043574972,0.0112521635751087,20017,0.9884450150609846,0.0006261248531712962,0.001348183367641101,0.0012987376639494036,0.001535375985121601,0.0075302096518752,0.00047131152949159995,-0.0608476149363284,-0.061364778566472156,0.0544077376269387,0.0476380150039298
AOI-00,landsat,W2023,20251,0.0476226610050057,0.0388853851637769,-0.003141279440335,0.7651151369039468,0.8753008071620674,0.8544793879372266,0.0011015203776342,20017,0.0500402703789647,0.0408831384432917,-0.0088321794688838,0.7319248633892765,0.8607811944412886,0.8613305584425672,-0.0021525533660406,20017,0.0475372634754631,0.0388293118993302,-0.0019929067808683,0.7580723004240353,0.8709496879560626,0.8613305584425657,-0.0021525533660397,20017,0.0500402703789647,0.0408831384432917,-0.0088321794688838,0.7319248633892765,0.8607811944412886,0.8613305584425672,-0.0021525533660406,20017,0.9884450150609846,0.002417609373958997,0.002503006903501595,0.001997753279514798,0.0020538265439615025,-0.005690900028548801,-0.006839272688015501,0.006851170505340676,1.5543122344752192e-15,-0.0032540737436748002,-8.998878031629687e-16
AOI-00,landsat,W2024,20251,0.0545914869893199,0.0434553527861851,-0.0266209590273057,0.6913419838552175,0.8753008071620639,0.8213424255681432,-0.0005959104544164,20017,0.0564420936508308,0.0458712970417949,-0.0272877164921305,0.6589457461127983,0.8607811944412875,0.7898189829121377,0.0258997636430273,20017,0.0545190651562544,0.0433690072009969,-0.0266215311902341,0.6817898403881015,0.8709496879560623,0.8247297840292268,-0.0026870868982747,20017,0.0564420936508308,0.0458712970417949,-0.0272877164921305,0.6589457461127983,0.8607811944412875,0.7898189829121377,0.0258997636430273,20017,0.9884450150609846,0.0018506066615108993,0.001923028494576401,0.0024159442556098004,0.0025022898407979985,-0.0006667574648248006,-0.0006661853018963999,-0.031523442656005485,-0.03491080111708911,0.0264956740974437,0.028586850541302
AOI-00,landsat,W2022_2023,20251,0.0479784784390302,0.0388599027272407,-0.0060176456687356,0.761592093412617,0.8753008071620674,0.8860855093515934,-0.0225508117090089,20017,0.0494710693808697,0.0405291375754565,-0.0050750157569322,0.7379888113696362,0.8607811944412872,0.8498933218618941,0.0090428652785078,20017,0.047648546698748,0.0387575242093318,-0.0020888716509322,0.7569382845134918,0.8709496879560621,0.8872239938178333,-0.0192940260170931,20017,0.0494710693808697,0.0405291375754565,-0.0050750157569322,0.7379888113696362,0.8607811944412872,0.8498933218618941,0.0090428652785078,20017,0.9884450150609846,0.0014925909418395042,0.0018225226821217064,0.0016692348482158018,0.0017716133661246983,0.0009426299118034005,-0.0029861441059999996,-0.03619218748969921,-0.0373306719559392,0.0315936769875167,0.0283368912956009
AOI-00,landsat,W2023_2024,20251,0.0499264728445752,0.0402435700837246,-0.015152883361565,0.7418396842401008,0.8753008071620672,0.8355955161455593,0.0015030395496026,20017,0.0530310819217106,0.0432492653225373,-0.0197504641536073,0.6989225592062891,0.8607811944412884,0.8205371652514329,0.0134593168499455,20017,0.0503948902360802,0.0405140239103064,-0.01677724731718,0.7281118698479166,0.8709496879560615,0.8368114827028112,-0.0007961196000023,20017,0.0530310819217106,0.0432492653225373,-0.0197504641536073,0.6989225592062891,0.8607811944412884,0.8205371652514329,0.0134593168499455,20017,0.9884450150609846,0.0031046090771353965,0.0026361916856303957,0.0030056952388126945,0.0027352414122308946,-0.0045975807920422985,-0.0029732168364272997,-0.015058350894126327,-0.016274317451378306,0.0119562773003429,0.0142554364499478
AOI-00,landsat,W2022_2024,20251,0.0494157986509318,0.0398007839971875,-0.0135648317347084,0.7470938734763888,0.875300807162066,0.8574769860461495,-0.0112924728687063,20017,0.0514311399500868,0.042138244427321,-0.0148883960426229,0.7168154590562494,0.8607811944412878,0.8168401225831681,0.0207257722156022,20017,0.0492347512843823,0.0397286968505663,-0.0129878029039112,0.7404860324030976,0.8709496879560616,0.8511369229484604,-0.0064370346440402,20017,0.0514311399500868,0.042138244427321,-0.0148883960426229,0.7168154590562494,0.8607811944412878,0.8168401225831681,0.0207257722156022,20017,0.9884450150609846,0.002015341299155003,0.002196388665704499,0.0023374604301335047,0.0024095475767547045,-0.0013235643079145005,-0.0019005931387116991,-0.040636863462981454,-0.03429680036529237,0.0320182450843085,0.0271628068596424
AOI-00,modis,W2022,20256,0.0388981351378991,0.0308910183336295,-0.001436257074586,0.8441264220036429,0.9189381442753436,1.0173301013686742,-0.1292712163021439,18641,0.0428567236749459,0.0330049589599437,-0.0094164417593354,0.8074222535834166,0.9039491553791996,0.994945341615072,-0.1226903976216673,18641,0.0397442349040179,0.0312346831576246,-0.0066049289948469,0.8343786011268833,0.9164303457763628,1.0408087769520054,-0.1498354868010443,18641,0.0428567236749459,0.0330049589599437,-0.0094164417593354,0.8074222535834166,0.9039491553791996,0.994945341615072,-0.1226903976216673,18641,0.9202705371248026,0.003958588537046795,0.0031124887709279986,0.0021139406263142035,0.0017702758023191018,-0.007980184684749399,-0.0028115127644885,-0.022384759753602212,-0.04586343533693338,0.006580818680476594,0.02714508917937701
AOI-00,modis,W2023,20256,0.038945820560779,0.0311352127045507,0.0005907677546352,0.8437440153165496,0.9189381442753428,0.977655307475334,-0.100192734703512,18641,0.0418347022994977,0.0329651744131916,-0.0005316982009135,0.8164976915126667,0.9039382033914638,0.9473292618979152,-0.0814248949855989,18641,0.0391964598623712,0.0313327457089173,0.0001730976160664,0.838912495011925,0.9164204100718234,0.9746527911216444,-0.098147164634848,18641,0.0418347022994977,0.0329651744131916,-0.0005316982009135,0.8164976915126667,0.9039382033914638,0.9473292618979152,-0.0814248949855989,18641,0.9202705371248026,0.0028888817387187,0.0026382424371265006,0.0018299617086408974,0.0016324287042742969,-0.0011224659555487,-0.0007047958169799,-0.030326045577418803,-0.02732352922372916,0.0187678397179131,0.016722269649249097
AOI-00,modis,W2024,20256,0.0432278793099662,0.0336620010550069,-0.0178830782652511,0.8074946500900887,0.918938144275343,0.9366411712572598,-0.0907019204451208,18641,0.0444963977992049,0.0342448811228304,-0.0127998791318279,0.7924045289014423,0.9039382033914616,0.879818584535097,-0.0477849358123972,18641,0.0447127212634664,0.0347966338612722,-0.0206222912777597,0.7903811321593328,0.9164204100718232,0.9312146601959904,-0.0894554582222545,18641,0.0444963977992049,0.0342448811228304,-0.0127998791318279,0.7924045289014423,0.9039382033914616,0.879818584535097,-0.0477849358123972,18641,0.9202705371248026,0.0012685184892386944,-0.00021632346426150167,0.0005828800678235047,-0.0005517527384417964,0.0050831991334232,0.007822412145931802,-0.05682258672216278,-0.05139607566089344,0.04291698463272361,0.041670522409857295
AOI-00,modis,W2022_2023,20256,0.0388677931786501,0.030956751110787,-0.000584499604653,0.8443695012741552,0.9189381442753438,0.9987877562275846,-0.1157767353605744,18641,0.0419312262114272,0.0327474991523431,-0.003707723400219,0.8156499362626483,0.9039382033914624,0.9693154995005444,-0.0995518481810702,18641,0.0391599135678825,0.0310887994388094,-0.0023774177276433,0.8392127469664552,0.9164204100718228,1.002802294862217,-0.1198064004031853,18641,0.0419312262114272,0.0327474991523431,-0.003707723400219,0.8156499362626483,0.9039382033914624,0.9693154995005444,-0.0995518481810702,18641,0.9202705371248026,0.003063433032777098,0.0027713126435446947,0.001790748041556104,0.001658699713533704,-0.003123223795566,-0.0013303056725757,-0.029472256727040236,-0.03348679536167265,0.016224887179504197,0.0202545522221151
AOI-00,modis,W2023_2024,20256,0.0400221940366738,0.0314987315064868,-0.0085921556943929,0.8349875435965004,0.9189381442753424,0.958794174558208,-0.0965155756754545,18641,0.0423814986103728,0.0330424066343567,-0.0055904452425919,0.8116694455252969,0.9039382033914632,0.9231765083984462,-0.0700594549969086,18641,0.0403352986023342,0.0317362395475535,-0.0089799702529822,0.8294158329599023,0.9164204100718226,0.9592098114556422,-0.0968170785669584,18641,0.0423814986103728,0.0330424066343567,-0.0055904452425919,0.8116694455252969,0.9039382033914632,0.9231765083984462,-0.0700594549969086,18641,0.9202705371248026,0.0023593045736989976,0.0020462000080385956,0.0015436751278699035,0.0013061670868032005,0.0030017104518009997,0.0033895250103902997,-0.03561766615976181,-0.03603330305719599,0.0264561206785459,0.026757623570049793
AOI-00,modis,W2022_2024,20256,0.0395079324646098,0.0311795790203667,-0.0065798299092691,0.8392009241772134,0.9189381442753416,0.9752383787223315,-0.1057153983201129,18641,0.0423813599278264,0.0329399323498866,-0.0065957525893229,0.811670678049817,0.903938203391462,0.9413932783163944,-0.0834524032073679,18641,0.0401299951123111,0.0315565053919577,-0.0087145965590294,0.8311479335093583,0.9164204100718236,0.978420488071424,-0.1095924835667274,18641,0.0423813599278264,0.0329399323498866,-0.0065957525893229,0.811670678049817,0.903938203391462,0.9413932783163944,-0.0834524032073679,18641,0.9202705371248026,0.002873427463216602,0.0022513648155153,0.0017603533295198967,0.001383426957928896,-1.592268005380041e-05,0.0021188439697065005,-0.033845100405937134,-0.0370272097550296,0.022262995112745,0.02614008035935951
AOI-00,sentinel2,W2022,19233,0.0630834398164498,0.0511500297482146,-0.0248776567617562,0.5854783780909002,0.8066320310505886,0.6763205577731803,0.129900026751047,12809,0.0727859818139534,0.0597696586373336,-0.0320900111554334,0.4714880048218224,0.7579114802276049,0.5975452728285868,0.1839039168491139,12809,0.0657128764796083,0.0544634242185875,-0.0283871684938057,0.5692152548999296,0.8064575898009937,0.6404465942366467,0.150984549040561,12809,0.0727859818139534,0.0597696586373336,-0.0320900111554334,0.4714880048218224,0.7579114802276049,0.5975452728285868,0.1839039168491139,12809,0.6659907450735715,0.009702541997503603,0.007073105334345103,0.008619628889118998,0.0053062344187461,-0.007212354393677196,-0.0037028426616276984,-0.07877528494459352,-0.04290132140805991,0.05400389009806689,0.032919367808552896
AOI-00,sentinel2,W2023,19233,0.0635078202004074,0.0512761884867122,-0.0252877960974007,0.5798824067749908,0.8066455321378111,0.707277333121073,0.1106327498096276,12809,0.0764232508466077,0.0625182505991173,-0.0380818853922085,0.4173464801933024,0.7579801645602897,0.6734580700077741,0.1333545988857463,12809,0.0654444027162737,0.0539447161556962,-0.0275611594939938,0.5727280563935966,0.8064819225625341,0.6992721558332868,0.1162379140169003,12809,0.0764232508466077,0.0625182505991173,-0.0380818853922085,0.4173464801933024,0.7579801645602897,0.6734580700077741,0.1333545988857463,12809,0.6659907450735715,0.012915430646200293,0.010978848130333993,0.011242062112405096,0.008573534443421092,-0.012794089294807798,-0.010520725898214699,-0.03381926311329886,-0.0258140858255127,0.022721849076118697,0.017116684868846002
AOI-00,sentinel2,W2024,19233,0.0657804286961394,0.0536638642768462,-0.0301752875949149,0.5492768605473173,0.8066261669952048,0.5891133459720407,0.1777208634126911,12809,0.0798319825140218,0.0662292313325491,-0.0458787664269048,0.364210738573093,0.7578994922621423,0.5747983935698915,0.1834641367347267,12809,0.0693035233293397,0.0576113756514309,-0.0348136905596849,0.520851659876744,0.8064575898009934,0.5869177021573005,0.1769257674126263,12809,0.0798319825140218,0.0662292313325491,-0.0458787664269048,0.364210738573093,0.7578994922621423,0.5747983935698915,0.1834641367347267,12809,0.6659907450735715,0.014051553817882395,0.010528459184682093,0.012565367055702902,0.008617855681118197,-0.015703478831989897,-0.0110650758672199,-0.014314952402149195,-0.012119308587409061,0.005743273322035586,0.00653836932210039
AOI-00,sentinel2,W2022_2023,19233,0.0631696009273403,0.0511104321399925,-0.0248048381325324,0.5843452745618674,0.8066397841245443,0.6930856764475416,0.1197604872931187,12809,0.0748030360390739,0.0612845656492012,-0.0355455908798914,0.4417897468291138,0.7579687421506721,0.6499712055659811,0.1496767472984079,12809,0.0652784831162656,0.0539043840101556,-0.0274004769678381,0.5748918143517232,0.8064714840892548,0.6835517013062149,0.1259054151849636,12809,0.0748030360390739,0.0612845656492012,-0.0355455908798914,0.4417897468291138,0.7579687421506721,0.6499712055659811,0.1496767472984079,12809,0.6659907450735715,0.011633435111733606,0.009524552922808294,0.010174133509208698,0.007380181639045601,-0.010740752747358997,-0.008145113912053296,-0.04311447088156051,-0.03358049574023381,0.029916260005289214,0.023771332113444316
AOI-00,sentinel2,W2023_2024,19233,0.0636924625340405,0.0517376722639086,-0.0265058849489071,0.5774359597685467,0.8066261669952032,0.6589835714426353,0.138832235498326,12809,0.0770719252230506,0.0633704849612775,-0.0402972454217138,0.4074134710845062,0.7579674240266432,0.6419852770970093,0.1496116379591073,12809,0.0660589946920462,0.0546820665332881,-0.0293105438369862,0.5646653059445994,0.8064575898009932,0.6617374084268253,0.1371870879345237,12809,0.0770719252230506,0.0633704849612775,-0.0402972454217138,0.4074134710845062,0.7579674240266432,0.6419852770970093,0.1496116379591073,12809,0.6659907450735715,0.013379462689010108,0.011012930531004411,0.011632812697368905,0.008688418427989404,-0.013791360472806699,-0.010986701584727598,-0.016998294345626053,-0.019752131329816014,0.010779402460781323,0.01242455002458362
AOI-00,sentinel2,W2022_2024,19233,0.0635190706274575,0.0515710545134839,-0.0260677225284827,0.5797335457065202,0.8066261669952041,0.6639249242787757,0.1362606145153957,12809,0.0759227317183154,0.0624263001271205,-0.0382905963255622,0.4249534386598284,0.7579578034819726,0.6309323729346593,0.1581060285129427,12809,0.065942539370224,0.054601719457529,-0.0290392735737895,0.5661988550170851,0.8064575898009925,0.6574934449657039,0.140024589300245,12809,0.0759227317183154,0.0624263001271205,-0.0382905963255622,0.4249534386598284,0.7579578034819726,0.6309323729346593,0.1581060285129427,12809,0.6659907450735715,0.012403661090857901,0.009980192348091402,0.0108552456136366,0.007824580669591498,-0.012222873797079498,-0.009251322751772699,-0.03299255134411638,-0.02656107203104463,0.021845413997546997,0.018081439212697697
AOI-01,landsat,W2022,14738,0.0013951280046526,0.0005133119633503,-2.6646491557405347e-05,0.3335706616250535,0.6635350736346466,0.0880375779596922,-0.0046682387840633,9601,0.0012424284297672,0.0005031351925982,5.742505955217569e-05,0.3999511273373355,0.7203625341946122,0.08433016624625,-0.0043819013137131,9601,0.0012032481189989,0.0004979752742595,7.879918695190871e-05,0.4371997963243885,0.7344642965527511,0.0947369577144108,-0.0049867592409211,9601,0.0012424284297672,0.0005031351925982,5.742505955217569e-05,0.3999511273373355,0.7203625341946122,0.08433016624625,-0.0043819013137131,9601,0.6514452435880038,-0.00015269957488539998,3.918031076829997e-05,-1.0176770752100034e-05,5.159918338700029e-06,8.407155110958104e-05,-2.1374127399733018e-05,-0.003707411713442202,-0.0104067914681608,0.0002863374703502,0.0006048579272079999
AOI-01,landsat,W2023,14738,0.0013556186888521,0.0006013871447245,0.0001330803360065,0.3707820696504035,0.6489570632237263,0.1095402120280271,-0.005685602641599,9601,0.0012098680224037,0.000557630174531,0.0001593946556148,0.4309900517005192,0.7134506875280094,0.0994232599591229,-0.0051166972303759,9601,0.0011863664682869,0.0005566421014765,0.0001785642316341,0.4528812613616898,0.7242498455690726,0.1061676874261413,-0.0055095229378458,9601,0.0012098680224037,0.000557630174531,0.0001593946556148,0.4309900517005192,0.7134506875280094,0.0994232599591229,-0.0051166972303759,9601,0.6514452435880038,-0.00014575066644839998,2.350155411679996e-05,-4.375697019349991e-05,9.880730545000016e-07,2.6314319608300023e-05,-1.91695760193e-05,-0.0101169520689042,-0.0067444274670183935,0.0005689054112231005,0.00039282570746990066
