sensor,aoi,window,slope,intercept,n,model_id,train_years,target_year,train_block_n,processing_hash,source_manifest_hash,aoi_geometry_hash,block_manifest_hash,code_version
landsat,AOI-01,W2023_2024,0.1053281495021411,-0.0054324123623114,39750,multi_aoi-17f608c32f85b504a42a,2023;2024,2025,35,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
landsat,AOI-01,W2024,0.1008082587428436,-0.0051651411704176,19872,multi_aoi-0153b0621f172bff18e4,2024,2025,35,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
landsat,AOI-02,W2022,0.977813455251819,-0.0789307780039256,15357,multi_aoi-00107429b44e2cfa94ff,2022,2025,37,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,ffcd445586dcd3b933d48bcc1cbd5c7c04e40be18f8c37915aa1d54e8887a72f,4ef3f2238e463ae841222959294750959b47274df54c0134e4c80be3a75e4891,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
landsat,AOI-02,W2022_2023,0.9954864633534538,-0.082362746596592,10105,multi_aoi-96b6c8b4e3c3e4296e0d,2022;2023,2025,15,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,ffcd445586dcd3b933d48bcc1cbd5c7c04e40be18f8c37915aa1d54e8887a72f,1afbdf5fe2c5cb53aacfdd97048cc74a2094c0a49ffac44d791da0ae62f6187c,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
landsat,AOI-02,W2022_2024,0.9920488741735304,-0.0787494148457917,10599,multi_aoi-7e4b7d5e72139724180a,2022;2023;2024,2025,14,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,ffcd445586dcd3b933d48bcc1cbd5c7c04e40be18f8c37915aa1d54e8887a72f,d8d8622ac2510e2f32e79cb38264f0b686b3f8f62664a25b0afe44fbaa6e6752,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
landsat,AOI-02,W2023,1.0328370889095937,-0.0879505108267932,2686,multi_aoi-99757fd8a95a9a628a54,2023,2025,15,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,ffcd445586dcd3b933d48bcc1cbd5c7c04e40be18f8c37915aa1d54e8887a72f,1afbdf5fe2c5cb53aacfdd97048cc74a2094c0a49ffac44d791da0ae62f6187c,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
landsat,AOI-02,W2023_2024,1.024334153531635,-0.0827417245398514,3407,multi_aoi-2601e49dcbee21b2af98,2023;2024,2025,14,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,ffcd445586dcd3b933d48bcc1cbd5c7c04e40be18f8c37915aa1d54e8887a72f,d8d8622ac2510e2f32e79cb38264f0b686b3f8f62664a25b0afe44fbaa6e6752,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
landsat,AOI-02,W2024,1.0145689898668873,-0.0883789183777191,1542,multi_aoi-451ffc919b335f8bfd3e,2024,2025,30,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,ffcd445586dcd3b933d48bcc1cbd5c7c04e40be18f8c37915aa1d54e8887a72f,792e207368a1d79debf7e74afbbe8683dc0b35312b28d62ef8007e358b4b1c9d,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
landsat,AOI-03,W2022,0.8794830332519278,-0.0769441523345696,16230,multi_aoi-0afd38339cf775848833,2022,2025,35,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,57ca12641709501bb5f30118c491acefed62396c209537573d7eed1d5b0cca15,01a26d6bd2027252499854440f74cd91f849b7842c624201085745012e51f0bb,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
landsat,AOI-03,W2022_2023,0.919049435471816,-0.077295417037905,27408,multi_aoi-f31526435766b1646444,2022;2023,2025,35,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,57ca12641709501bb5f30118c491acefed62396c209537573d7eed1d5b0cca15,01a26d6bd2027252499854440f74cd91f849b7842c624201085745012e51f0bb,af4df0f16941f432b974d6e8b45e35a5d7c1137eb538357ab65e2c7289f95a43
