aoi_id,PARTIAL,READY
AOI-00,0,20
AOI-C01,0,20
AOI-C02,0,20
AOI-C03,0,20
AOI-C04,0,20
AOI-C05,0,20
AOI-C06,0,20
AOI-C07,0,20
AOI-C08,0,20
AOI-C09,0,20
AOI-C10,0,20
