AOI,sensor,endpoint,NDVI_low_recomputed,NDVI_high_recomputed,RMSE_recomputed,max_absolute_difference,status
AOI-00,sentinel2,P1/P99,0.14791751384735102,0.7869107556343079,0.19726126145237333,2.7755575615628914e-17,PASS
AOI-00,sentinel2,P2/P98,0.2307401186227798,0.7759096360206604,0.19362760866320924,5.551115123125783e-17,PASS
AOI-00,sentinel2,P5/P95,0.37795531749725336,0.7560681581497191,0.20844583786525042,5.551115123125783e-17,PASS
AOI-00,sentinel2,P10/P90,0.4700280666351318,0.7340076565742493,0.2585272037851962,5.551115123125783e-17,PASS
AOI-00,landsat,P1/P99,0.22259246557950968,0.7869962453842163,0.22781037809218446,8.326672684688674e-17,PASS
AOI-00,landsat,P2/P98,0.3052623271942138,0.7761353254318237,0.2206458381603489,8.326672684688674e-17,PASS
AOI-00,landsat,P5/P95,0.4636481255292892,0.7610898911952972,0.20613163518261005,8.326672684688674e-17,PASS
AOI-00,landsat,P10/P90,0.5628260970115662,0.7457691431045532,0.24520696247470994,7.632783294297951e-17,PASS
AOI-00,modis,P1/P99,0.30655363649129863,0.8063594818115234,0.2076360020202522,5.551115123125783e-17,PASS
AOI-00,modis,P2/P98,0.3920171052217484,0.7969791352748872,0.19479936598548703,8.326672684688674e-17,PASS
AOI-00,modis,P5/P95,0.5188936442136765,0.7829141914844513,0.19541867177026936,8.326672684688674e-17,PASS
AOI-00,modis,P10/P90,0.5890694558620453,0.7697160542011261,0.24363463203865265,6.266688556966216e-17,PASS
AOI-01,sentinel2,P1/P99,0.012013977831229488,0.05231882583349937,0.4215170929939064,8.847089727481716e-17,PASS
AOI-01,sentinel2,P2/P98,0.014187069945037302,0.046379034966230345,0.4622008420289593,5.551115123125783e-17,PASS
AOI-01,sentinel2,P5/P95,0.016528908163309,0.04054343961179253,0.5201812611149803,2.7755575615628914e-17,PASS
AOI-01,sentinel2,P10/P90,0.01829095426946873,0.036805511265993074,0.5686111524234547,7.632783294297951e-17,PASS
AOI-01,landsat,P1/P99,0.034777249880135,0.07839691489934907,0.4859530740617822,6.938893903907228e-17,PASS
AOI-01,landsat,P2/P98,0.03837689317762846,0.07379117488861078,0.5020025636613074,8.326672684688674e-17,PASS
AOI-01,landsat,P5/P95,0.04187783189117902,0.06849252544343465,0.5393603575406333,5.551115123125783e-17,PASS
AOI-01,landsat,P10/P90,0.04455375149846072,0.06432385146617886,0.5843288727451832,5.551115123125783e-17,PASS
AOI-01,modis,P1/P99,0.04321985449641936,0.0838610455393791,0.430312700519638,7.275957614183426e-12,PASS
AOI-01,modis,P2/P98,0.045218136832118005,0.07909251004457471,0.4602062893654672,5.551115123125783e-17,PASS
AOI-01,modis,P5/P95,0.047207523137331,0.0735682301223278,0.5135084362368406,0.0,PASS
AOI-01,modis,P10/P90,0.048773731663823074,0.06958971247076984,0.5627141003246973,1.4551915228366852e-11,PASS
AOI-02,sentinel2,P1/P99,0.07076966293156144,0.8029259586334225,0.18003465544546748,1.1102230246251565e-16,PASS
AOI-02,sentinel2,P2/P98,0.08810562968254083,0.7865415680408478,0.19006461115528067,8.326672684688674e-17,PASS
AOI-02,sentinel2,P5/P95,0.12316125594079493,0.7575427860021591,0.20870765279403464,1.1102230246251565e-16,PASS
AOI-02,sentinel2,P10/P90,0.21484139412641526,0.7272167265415191,0.22219926802056808,1.1102230246251565e-16,PASS
AOI-02,landsat,P1/P99,0.1478291302919387,0.792552639245987,0.21109203456999545,5.551115123125783e-17,PASS
AOI-02,landsat,P2/P98,0.1720369756221771,0.7797631621360779,0.21720301697196442,5.551115123125783e-17,PASS
AOI-02,landsat,P5/P95,0.25010604411363596,0.7532430291175842,0.2251369887091473,1.1102230246251565e-16,PASS
AOI-02,landsat,P10/P90,0.3731969326734543,0.729181170463562,0.22913664742888595,2.220446049250313e-16,PASS
AOI-02,modis,P1/P99,0.171018176972866,0.8072793000936508,0.20397915114597817,1.1102230246251565e-16,PASS
AOI-02,modis,P2/P98,0.19031419664621346,0.7940959286689758,0.21205741316660934,1.1102230246251565e-16,PASS
AOI-02,modis,P5/P95,0.24934933334589002,0.7737560331821441,0.21768495943606272,8.326672684688674e-17,PASS
AOI-02,modis,P10/P90,0.3546798378229141,0.749691367149353,0.2216002483395671,5.551115123125783e-17,PASS
AOI-03,sentinel2,P1/P99,0.04284177660942071,0.5620108699798576,0.20747311030282772,1.1102230246251565e-16,PASS
AOI-03,sentinel2,P2/P98,0.05102419435977935,0.5104779601097107,0.23571827460234096,5.551115123125783e-17,PASS
AOI-03,sentinel2,P5/P95,0.06351892501115793,0.418813019990921,0.30294037042307864,8.881784197001252e-16,PASS
AOI-03,sentinel2,P10/P90,0.07618668079376216,0.3436468482017518,0.3780649286916023,5.551115123125783e-17,PASS
AOI-03,landsat,P1/P99,0.08307182326912874,0.588023054599762,0.20968661556984877,1.1102230246251565e-16,PASS
AOI-03,landsat,P2/P98,0.09018457934260361,0.5520096147060394,0.22826471872616463,1.1102230246251565e-16,PASS
AOI-03,landsat,P5/P95,0.1039254389703273,0.4669338107109069,0.2841684781297726,1.1102230246251565e-16,PASS
AOI-03,landsat,P10/P90,0.11780055984854697,0.3753751903772353,0.3718688170678216,6.938893903907228e-17,PASS
AOI-03,modis,P1/P99,0.10157324656844137,0.561350684762001,0.21934072284940936,6.938893903907228e-17,PASS
AOI-03,modis,P2/P98,0.10932344675064082,0.5248007404804229,0.24086623216981917,8.326672684688674e-17,PASS
AOI-03,modis,P5/P95,0.12136515900492661,0.44962818175554264,0.3002905502152941,1.1102230246251565e-16,PASS
AOI-03,modis,P10/P90,0.13685405403375625,0.3698565185070038,0.3907976013921049,1.1102230246251565e-16,PASS
