sensitivity,variant,AOI,sensor,target_year,contrast,history_left,history_right,paired_block_n,mean_difference_RMSE,t,p,Holm_adjusted_p,significant
non_overlapping_temporal_composition,primary_matched,AOI-01,sentinel2,2024,1y_vs_2y,1,2,35,-4.027074421319405e-05,-4.61567962213466,5.3802554520445225e-05,0.00010760510904089045,True
non_overlapping_temporal_composition,primary_matched,AOI-01,sentinel2,2024,1y_vs_3y,1,3,35,-9.071179202988493e-06,-1.0459478708996464,0.3029644737419246,0.3029644737419246,False
non_overlapping_temporal_composition,primary_matched,AOI-01,sentinel2,2024,2y_vs_3y,2,3,35,3.119956501020556e-05,8.154918224022213,1.6399230691205106e-09,4.9197692073615315e-09,True
non_overlapping_temporal_composition,primary_matched,AOI-01,sentinel2,2025,1y_vs_2y,1,2,35,1.2366190090095913e-05,3.2903266529311535,0.0023360916926112004,0.007008275077833601,True
non_overlapping_temporal_composition,primary_matched,AOI-01,sentinel2,2025,1y_vs_3y,1,3,35,2.639465883161545e-05,2.9399486947972635,0.005865871870854854,0.011731743741709709,True
non_overlapping_temporal_composition,primary_matched,AOI-01,sentinel2,2025,2y_vs_3y,2,3,35,1.4028468741519536e-05,2.4003670532105215,0.02199895953181725,0.02199895953181725,True
non_overlapping_temporal_composition,primary_matched,AOI-02,landsat,2024,1y_vs_2y,1,2,30,-0.001874125592936476,-2.775025370940486,0.009559774755339596,0.019119549510679193,True
non_overlapping_temporal_composition,primary_matched,AOI-02,landsat,2024,1y_vs_3y,1,3,30,-0.0004989060566865278,-2.04089486409395,0.05045619103278784,0.05045619103278784,False
non_overlapping_temporal_composition,primary_matched,AOI-02,landsat,2024,2y_vs_3y,2,3,30,0.0013752195362499483,3.1125367927433882,0.004144734672599709,0.012434204017799128,True
non_overlapping_temporal_composition,primary_matched,AOI-02,landsat,2025,1y_vs_2y,1,2,28,-0.00116060543137866,-1.6685363914155926,0.10676672877072663,0.10676672877072663,False
non_overlapping_temporal_composition,primary_matched,AOI-02,landsat,2025,1y_vs_3y,1,3,28,0.0024540313853926407,3.0010737134196637,0.005730607603436228,0.011461215206872455,True
non_overlapping_temporal_composition,primary_matched,AOI-02,landsat,2025,2y_vs_3y,2,3,28,0.0036146368167713017,5.977545838753222,2.244656913257301e-06,6.733970739771903e-06,True
non_overlapping_temporal_composition,primary_matched,AOI-02,modis,2024,1y_vs_2y,1,2,38,0.006489227973507654,6.5670015055216675,1.0771931356402947e-07,3.231579406920884e-07,True
non_overlapping_temporal_composition,primary_matched,AOI-02,modis,2024,1y_vs_3y,1,3,38,0.0066208378608115515,6.428295106512289,1.6559819715166625e-07,3.311963943033325e-07,True
non_overlapping_temporal_composition,primary_matched,AOI-02,modis,2024,2y_vs_3y,2,3,38,0.00013160988730389676,2.3560937547463277,0.023876056411135903,0.023876056411135903,True
non_overlapping_temporal_composition,primary_matched,AOI-02,modis,2025,1y_vs_2y,1,2,24,0.0023570428134260628,5.298393291639913,2.2319631211912485e-05,4.463926242382497e-05,True
non_overlapping_temporal_composition,primary_matched,AOI-02,modis,2025,1y_vs_3y,1,3,24,0.0016889298117197056,5.001866625640857,4.6428001595852075e-05,4.6428001595852075e-05,True
non_overlapping_temporal_composition,primary_matched,AOI-02,modis,2025,2y_vs_3y,2,3,24,-0.0006681130017063571,-5.583561184386316,1.1101456035832668e-05,3.330436810749801e-05,True
non_overlapping_temporal_composition,primary_matched,AOI-02,sentinel2,2024,1y_vs_2y,1,2,38,-0.0011134483789453989,-3.7514507597222764,0.0006015940169980013,0.001804782050994004,True
non_overlapping_temporal_composition,primary_matched,AOI-02,sentinel2,2024,1y_vs_3y,1,3,38,0.001412610890748667,2.7806486962308763,0.008481838833228453,0.008481838833228453,True
