sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,status,held_out_year,train_n,test_n,RMSE,MAE,Bias,R2,Pearson_r,n
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,sentinel2,2023;2024,2025,W2023_2024,COMPLETED,2023,6508,11142,0.0495703868691892,0.04039135119268819,-0.00879439076128251,0.7463184037743695,0.8799237996450906,11142.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,sentinel2,2023;2024,2025,W2023_2024,COMPLETED,2024,11142,6508,0.06318059490624028,0.04893610495502059,0.005012749427292852,0.5323777320598397,0.7452945533834434,6508.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,17650,4887,0.057275096571007975,0.04560281183754354,-0.002230460534770877,0.6128138233621998,0.7836320488313866,4887.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,11395,11142,0.04838060113109613,0.03933116376068043,-0.005437371472555391,0.7583499633184042,0.8799593388148296,11142.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,COMPLETED,2024,16029,6508,0.06288971679222445,0.04879809351467247,0.005738702844560768,0.5366736070445957,0.7452855002005122,6508.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,COMPLETED,2022,11792,7415,0.0011554185696333787,0.0005086488721116869,0.0003408808582974573,0.4560758406972616,0.7295133078902181,7415.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,COMPLETED,2023,7415,11792,0.0013756801168858417,0.00044372054388779866,0.00018027050861336717,0.4727729376838147,0.7787585818363713,11792.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,COMPLETED,2023,8411,11794,0.0013869539980239517,0.0004929151942680291,0.00023571833192202916,0.46418703926651705,0.7644507665735921,11794.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,COMPLETED,2024,11794,8411,0.0012426340480099676,0.0005620634147781975,0.0002798498308318749,0.4805316030571114,0.736841251015769,8411.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,20202,7415,0.0011591405113213246,0.0004938856883441538,0.0003188752455108747,0.45256591842912,0.7292103667808952,7415.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,15825,11792,0.001380863757883156,0.0004693146759981317,0.00020945554941961372,0.4687922088093397,0.7711761221548235,11792.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2024,19207,8410,0.001241417697937975,0.0005331985149348921,0.00023689734802818694,0.48132319300126125,0.7410900304737097,8410.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,modis,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,modis,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,modis,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,modis,2022;2023,2025,W2022_2023,COMPLETED,2022,15349,15387,0.0013763709392973064,0.0003756930615901527,0.0001560085071326149,0.3238148854565752,0.6704116798534373,15387.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,modis,2022;2023,2025,W2022_2023,COMPLETED,2023,15387,15349,0.0015957947166638621,0.0005920641654307898,0.00032642821359207824,0.3142832370194544,0.640731856858141,15349.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,modis,2023;2024,2025,W2023_2024,COMPLETED,2023,15358,15349,0.001673350054045565,0.0004414907600123882,0.00011558080583500626,0.24601218969053507,0.6454809939831286,15349.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,modis,2023;2024,2025,W2023_2024,COMPLETED,2024,15349,15358,0.0014787971472986143,0.0004966322965217873,0.0002207087544063641,0.2837312439862625,0.6048587813056964,15358.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,modis,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,30707,15387,0.0014118584600295398,0.00035206596979863044,0.00011728968221122697,0.28849666779690064,0.6634991930263031,15387.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,modis,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,30745,15349,0.0016335645766170064,0.0004969656530705672,0.00019446467383232985,0.28143950789461203,0.6446361827130531,15349.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,modis,2022;2023;2024,2025,W2022_2024,COMPLETED,2024,30736,15358,0.0014825855963799196,0.0005334725807445316,0.0002659686542048964,0.2800566040128598,0.5954961799054088,15358.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,sentinel2,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,sentinel2,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,sentinel2,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,sentinel2,2022;2023,2025,W2022_2023,COMPLETED,2022,10193,12483,0.0013766205906949117,0.0004111331985955484,0.00015801877656917198,0.4507940457624692,0.7549617269666784,12483.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,sentinel2,2022;2023,2025,W2022_2023,COMPLETED,2023,12483,10193,0.0015855271583624494,0.0006544304870899248,0.0003697546504628163,0.3474796748279755,0.6744202604434929,10193.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,sentinel2,2023;2024,2025,W2023_2024,COMPLETED,2023,14878,10193,0.0016402778708610609,0.0005395543607021104,0.00021460564962047702,0.3016365130543678,0.6741604500381272,10193.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,sentinel2,2023;2024,2025,W2023_2024,COMPLETED,2024,10193,14878,0.0013759830279091677,0.00038691561522873096,7.613184236048797e-05,0.41086170242689124,0.7665400964847764,14878.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,sentinel2,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,25071,12483,0.0014298494154903578,0.0004244303976758719,0.00015743073932378073,0.4075014129933072,0.7361571884395357,12483.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,sentinel2,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,27361,10193,0.0016069597725437746,0.0005895695340593614,0.00028393868741082316,0.32971934825397087,0.675731386973226,10193.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-01,sentinel2,2022;2023;2024,2025,W2022_2024,COMPLETED,2024,22676,14878,0.001376022249603049,0.0004482957101477846,0.00014820519820432106,0.41082811577528444,0.7472808197264381,14878.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,landsat,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,landsat,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,landsat,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,COMPLETED,2022,306,603,0.04833334756576777,0.03793809929167807,0.010850508685207224,0.8903312286910348,0.9479186795185627,603.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,COMPLETED,2023,603,306,0.06324767567418287,0.04940477975486539,-0.012431472859183905,0.8665573463796273,0.93491506818069,306.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,landsat,2023;2024,2025,W2023_2024,COMPLETED,2023,389,306,0.06647612306347636,0.05043385412509508,0.025335412751708235,0.8525866227655472,0.93491506818069,306.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,landsat,2023;2024,2025,W2023_2024,COMPLETED,2024,306,389,0.06905965981763208,0.055170110877138974,-0.024806293010358867,0.8099894401169787,0.9135473732006287,389.0
non_overlapping_temporal_composition,primary_matched,multi_aoi,AOI-02,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,695,603,0.05297525709279155,0.041754374749052366,0.024698389304988855,0.8682546264775932,0.9479186795185627,603.0
