AOI,sensor,quantile_configuration,NDVI_low,NDVI_high,target_evaluation_pairs,unique_target_identities,target_year,low_clip_count,high_clip_count,low_clip_ratio,high_clip_ratio,total_clip_ratio,RMSE_DPM,MAE_DPM,Bias_DPM,R2_DPM,Pearson_r_DPM,n_DPM
AOI-00,landsat,P1/P99,0.23056892037391657,0.7895567345619202,20017,6739,2025,201,201,0.010041464754958285,0.010041464754958285,0.02008292950991657,0.21152843514208286,0.1986284586607676,0.18497682780323133,-3.7902122148717234,0.8583894493307016,20017
AOI-00,landsat,P2/P98,0.31516941547393795,0.7794795846939087,20017,6739,2025,401,401,0.020032971973822252,0.020032971973822252,0.040065943947644504,0.2017949683030098,0.18516684721838136,0.15853628371943257,-3.3595122947503215,0.8521804606284246,20017
AOI-00,landsat,P5/P95,0.4677902996540069,0.7637859106063843,20017,6739,2025,1001,1001,0.050007493630414145,0.050007493630414145,0.10001498726082829,0.19712869504572167,0.1670796522037335,0.07046927563348877,-3.1602261036002366,0.8207159103281892,20017
AOI-00,landsat,P10/P90,0.5544477105140686,0.7466171264648438,20017,6739,2025,2002,2002,0.10001498726082829,0.10001498726082829,0.20002997452165658,0.2490543765921777,0.20993254841498357,-0.010706117120354483,-5.640573631641319,0.7776156518479755,20017
AOI-00,modis,P1/P99,0.31242467761039733,0.812873601913452,18641,6752,2025,187,187,0.010031650662518106,0.010031650662518106,0.020063301325036212,0.19731627412469144,0.1831793611945566,0.1722284218173602,-3.0821971841930136,0.9024155941133265,18641
AOI-00,modis,P2/P98,0.3989901065826416,0.8038732290267945,18641,6752,2025,373,373,0.020009656134327557,0.020009656134327557,0.04001931226865511,0.18336739021571677,0.16302736379645355,0.13480397757222423,-2.5254322598929653,0.8950487621720501,18641
AOI-00,modis,P5/P95,0.5206782817840576,0.788877546787262,18641,6752,2025,932,932,0.049997317740464564,0.049997317740464564,0.09999463548092913,0.19335792375877858,0.1599562814786206,0.049478173401151584,-2.920054586007963,0.8624615270721165,18641
AOI-00,modis,P10/P90,0.5846645832061768,0.775446355342865,18641,6752,2025,1864,1864,0.09999463548092913,0.09999463548092913,0.19998927096185826,0.24371153284037472,0.2043284829848946,-0.01875009407652289,-5.227594535070892,0.8250962860290221,18641
AOI-00,sentinel2,P1/P99,0.14177600562572473,0.7955897688865662,12809,6733,2025,129,129,0.010071043797330002,0.010071043797330002,0.020142087594660005,0.17767958111465612,0.15120460871788935,0.11466975570173642,-2.149447713791609,0.7533055241528567,12809
AOI-00,sentinel2,P2/P98,0.21555273115634915,0.7835431957244873,12809,6733,2025,257,257,0.020064017487703957,0.020064017487703957,0.040128034975407914,0.18112587562192578,0.15235096717733812,0.08929554158594177,-2.272806698530319,0.7418322217089902,12809
AOI-00,sentinel2,P5/P95,0.35139815807342534,0.764953327178955,12809,6733,2025,641,641,0.05004293855882583,0.05004293855882583,0.10008587711765166,0.21193475573586265,0.17806264837198735,0.01473432275476364,-3.4808842629923626,0.6986607134150744,12809
AOI-00,sentinel2,P10/P90,0.43335806131362914,0.7382392764091492,12809,6733,2025,1281,1281,0.1000078070106956,0.1000078070106956,0.2000156140213912,0.2666553758047848,0.228589530364104,-0.034434339522654255,-6.093491398214461,0.6536376797580357,12809
AOI-01,landsat,P1/P99,0.0321251228451728,0.080069787800312,9601,5000,2025,96,96,0.009998958441828977,0.009998958441828977,0.019997916883657953,0.49313818276448806,0.46216686804317736,0.46216686804317736,-94531.49577373685,0.4395210632237413,9601
AOI-01,landsat,P2/P98,0.0376623682677745,0.0742552578449249,9601,5000,2025,192,192,0.019997916883657953,0.019997916883657953,0.03999583376731591,0.5021678544132477,0.45415200475668943,0.45415200475668943,-98025.08998674086,0.4111213774916455,9601
AOI-01,landsat,P5/P95,0.0414736904203891,0.0684255361557006,9601,5000,2025,480,480,0.04999479220914488,0.04999479220914488,0.09998958441828976,0.5429056428457283,0.47275430636168286,0.47275430636168286,-114574.71453973935,0.36158754695962203,9601
AOI-01,landsat,P10/P90,0.0442093126475811,0.0639952644705772,9601,5000,2025,960,960,0.09998958441828976,0.09998958441828976,0.1999791688365795,0.5935976401673033,0.4999308026739664,0.49992996942739,-136969.8637810492,0.30458078905335667,9601
AOI-01,modis,P1/P99,0.041725676767527996,0.08494897656142701,19714,6626,2025,198,198,0.010043623820635082,0.010043623820635082,0.020087247641270164,0.43289715183737476,0.38678799011061427,0.38678799011061427,-62696.23843099648,0.45834408169926033,19714
AOI-01,modis,P2/P98,0.0438397613167762,0.07933867931365951,19714,6626,2025,395,395,0.02003652226843867,0.02003652226843867,0.04007304453687734,0.46950573610352064,0.40998789071560227,0.40998789071560227,-73748.78531784483,0.4210305871033143,19714
AOI-01,modis,P5/P95,0.04616113528609271,0.07369986213743678,19714,6626,2025,986,986,0.05001521761184945,0.05001521761184945,0.1000304352236989,0.5196586049614714,0.4404660736970796,0.4404660736970796,-90346.30483024882,0.3681757544130264,19714
AOI-01,modis,P10/P90,0.04840525388717648,0.06954592689871787,19714,6626,2025,1972,1972,0.1000304352236989,0.1000304352236989,0.2000608704473978,0.5625244923785696,0.4612208813726504,0.46122047556964846,-105866.29781885065,0.31837044858941904,19714
AOI-01,sentinel2,P1/P99,0.009292760714888488,0.05200004920363414,19409,6626,2025,195,195,0.010046885465505693,0.010046885465505693,0.020093770931011386,0.4513743049259327,0.4124638233320331,0.4124638233320331,-68384.67040668929,0.41962187836890613,19409
AOI-01,sentinel2,P2/P98,0.01193553525954478,0.04672844991087907,19409,6626,2025,389,389,0.020042248441444692,0.020042248441444692,0.040084496882889384,0.4809630804108164,0.4293250975641344,0.4293250975641344,-77644.25567070498,0.38531262628770624,19409
AOI-01,sentinel2,P5/P95,0.01523735560476774,0.04047972336411467,19409,6626,2025,971,971,0.05002833736926168,0.05002833736926168,0.10005667473852337,0.5329000283761709,0.45742269162373106,0.457422279443795,-95318.75781025087,0.3298981765985064,19409
AOI-01,sentinel2,P10/P90,0.01745408624410624,0.03656069934368126,19409,6626,2025,1941,1941,0.10000515224895667,0.10000515224895667,0.20001030449791335,0.5795660354362265,0.4819250311180952,0.4819246189381591,-112744.00138246406,0.28412640739284034,19409
AOI-02,landsat,P1/P99,0.14779890805482862,0.801496506929398,1735,1555,2025,18,18,0.01037463976945245,0.01037463976945245,0.0207492795389049,0.20268854414767978,0.1801388346835951,0.17348405476745854,-0.5188762247639171,0.9378747095193773,1735
AOI-02,landsat,P2/P98,0.16608671784400936,0.782538673877716,1735,1555,2025,35,35,0.020172910662824207,0.020172910662824207,0.040345821325648415,0.21616023987031502,0.19212791783701494,0.1824626500826951,-0.7274902493451807,0.9374895471986996,1735
AOI-02,landsat,P5/P95,0.21739304214715957,0.7524436056613921,1735,1555,2025,87,87,0.05014409221902017,0.05014409221902017,0.10028818443804034,0.23450177038105716,0.20788986192133457,0.18681567828702486,-1.0330882437489373,0.9344124325134545,1735
AOI-02,landsat,P10/P90,0.2974052429199219,0.7253029584884644,1735,1555,2025,174,174,0.10028818443804034,0.10028818443804034,0.20057636887608069,0.24847517103756733,0.21875402415396758,0.1726231793275362,-1.2826008462494412,0.922172950939929,1735
AOI-02,modis,P1/P99,0.2746152767539024,0.8009911900758744,2190,1912,2025,22,22,0.01004566210045662,0.01004566210045662,0.02009132420091324,0.18413260361295342,0.1630891464498561,0.15331951200774396,-1.5385315108798587,0.8740946204792078,2190
AOI-02,modis,P2/P98,0.3765424525737762,0.7923528301715848,2190,1912,2025,44,44,0.02009132420091324,0.02009132420091324,0.04018264840182648,0.16678941900960237,0.13888025918920985,0.09440358919658173,-1.082850804128424,0.863477414412789,2190
