sample_count,sensor,window
26583,sentinel2,2022
30229,sentinel2,2023
23655,sentinel2,2024
56812,sentinel2,2022-2023
53884,sentinel2,2023-2024
80467,sentinel2,2022-2024
26372,landsat,2022
28379,landsat,2023
30141,landsat,2024
54751,landsat,2022-2023
58520,landsat,2023-2024
84892,landsat,2022-2024
29190,modis,2022
29217,modis,2023
29183,modis,2024
58407,modis,2022-2023
58400,modis,2023-2024
87590,modis,2022-2024
