bias,clipped_high_count,clipped_low_count,common_evaluation_mask_checksum,difference_definition,mae,mean_prediction,mean_reference,method,pearson_r,prediction_standard_deviation,r_squared,reference_standard_deviation,rmse,sensor,strategy,task_id,valid_comparison_count
-0.027522094547748566,0,0,a540cc82c5be604e850c9d1aad6fa78d67e069cbd85de06e542d0459c31110a7,model_prediction_minus_fcover_reference,0.056494250893592834,0.5288480520248413,0.556370198726654,regression,0.7671994144485554,0.09288719296455383,0.5152843594551086,0.10809510201215744,0.07525745779275894,sentinel2,2022,new-sentinel2-2022,28540
-0.024825697764754295,0,0,a540cc82c5be604e850c9d1aad6fa78d67e069cbd85de06e542d0459c31110a7,model_prediction_minus_fcover_reference,0.05559401959180832,0.5315445065498352,0.556370198726654,regression,0.7671994147585665,0.09596601128578186,0.5213061571121216,0.10809510201215744,0.07478852570056915,sentinel2,2023,new-sentinel2-2023,28540
-0.02887503243982792,0,0,a540cc82c5be604e850c9d1aad6fa78d67e069cbd85de06e542d0459c31110a7,model_prediction_minus_fcover_reference,0.05958611145615578,0.5274951457977295,0.556370198726654,regression,0.7671994146387673,0.06989239156246185,0.5026901364326477,0.10809510201215744,0.07622888684272766,sentinel2,2024,new-sentinel2-2024,28540
-0.02589225023984909,0,0,a540cc82c5be604e850c9d1aad6fa78d67e069cbd85de06e542d0459c31110a7,model_prediction_minus_fcover_reference,0.05592786893248558,0.5304779410362244,0.556370198726654,regression,0.7671994138439756,0.09475298970937729,0.5192573070526123,0.10809510201215744,0.07494840770959854,sentinel2,2022-2023,new-sentinel2-2022-2023,28540
-0.02505100890994072,0,0,a540cc82c5be604e850c9d1aad6fa78d67e069cbd85de06e542d0459c31110a7,model_prediction_minus_fcover_reference,0.05631786212325096,0.5313191413879395,0.556370198726654,regression,0.7671994126886057,0.08385656774044037,0.534813642501831,0.10809510201215744,0.07372580468654633,sentinel2,2023-2024,new-sentinel2-2023-2024,28540
-0.02613430842757225,0,0,a540cc82c5be604e850c9d1aad6fa78d67e069cbd85de06e542d0459c31110a7,model_prediction_minus_fcover_reference,0.056416284292936325,0.5302358865737915,0.556370198726654,regression,0.7671994137681,0.08664438128471375,0.5289611220359802,0.10809510201215744,0.07418812811374664,sentinel2,2022-2024,new-sentinel2-2022-2024,28540
0.11837521985720606,1427,1427,a540cc82c5be604e850c9d1aad6fa78d67e069cbd85de06e542d0459c31110a7,model_prediction_minus_fcover_reference,0.2012935478341745,0.6747453924027641,0.556370198726654,formula,0.7487633611933662,0.2646821678309555,-3.528063200176706,0.10809510201215744,0.23001823217829195,sentinel2,formula-p5-p95,new-sentinel2-formula-p5-p95,28540
-0.005223853979259729,0,0,d5d8cf7a001072d7ec58057b3e5974ba985842015b89f030a14f6fa2e187357a,model_prediction_minus_fcover_reference,0.037289418280124664,0.5509323477745056,0.5561561584472656,regression,0.9008882378160252,0.10103239119052887,0.8076952695846558,0.1074642762541771,0.04712584242224693,landsat,2022,new-landsat-2022,30220
0.0001648224424570799,0,0,d5d8cf7a001072d7ec58057b3e5974ba985842015b89f030a14f6fa2e187357a,model_prediction_minus_fcover_reference,0.037323735654354095,0.5563210248947144,0.5561561584472656,regression,0.9008882378058102,0.09656321257352829,0.8115918636322021,0.1074642762541771,0.04664595425128937,landsat,2023,new-landsat-2023,30220
-0.022781969979405403,0,0,d5d8cf7a001072d7ec58057b3e5974ba985842015b89f030a14f6fa2e187357a,model_prediction_minus_fcover_reference,0.04118916392326355,0.5333742499351501,0.5561561584472656,regression,0.9008882369531332,0.09297765791416168,0.7653834819793701,0.1074642762541771,0.05205271765589714,landsat,2024,new-landsat-2024,30220
-0.0025925347581505775,0,0,d5d8cf7a001072d7ec58057b3e5974ba985842015b89f030a14f6fa2e187357a,model_prediction_minus_fcover_reference,0.037222038954496384,0.5535637140274048,0.5561561584472656,regression,0.9008882370973645,0.09896200895309448,0.8106178045272827,0.1074642762541771,0.04676637053489685,landsat,2022-2023,new-landsat-2022-2023,30220
-0.011635228991508484,0,0,d5d8cf7a001072d7ec58057b3e5974ba985842015b89f030a14f6fa2e187357a,model_prediction_minus_fcover_reference,0.03825414925813675,0.5445209741592407,0.5561561584472656,regression,0.9008882377072377,0.09474478662014008,0.7995065450668335,0.1074642762541771,0.04811873659491539,landsat,2023-2024,new-landsat-2023-2024,30220
-0.010013031773269176,0,0,d5d8cf7a001072d7ec58057b3e5974ba985842015b89f030a14f6fa2e187357a,model_prediction_minus_fcover_reference,0.03790184482932091,0.5461431741714478,0.5561561584472656,regression,0.9008882373904679,0.09623204916715622,0.8028886914253235,0.1074642762541771,0.047711148858070374,landsat,2022-2024,new-landsat-2022-2024,30220
