Bias,MAE,NDVI_high,NDVI_low,Pearson_r,R2,RMSE,endpoint,endpoint_gap,full_valid_n,high_clip_count,high_clip_ratio,low_clip_count,low_clip_ratio,n,sensor,total_clip_ratio
0.16604728052342807,0.2002922189263685,0.7861861974000931,0.04173041637986898,0.7692901200126679,-3.119330533081129,0.21939125972897705,P1/P99,0.7444557810202241,28540,286,0.010021023125437982,286,0.010021023125437982,28540,sentinel2,0.020042046250875963
0.16151512050235436,0.20355967063088615,0.7744151556491852,0.08536293312907219,0.7690102342005373,-3.294630999942272,0.22401078538626035,P2/P98,0.689052222520113,28540,571,0.020007007708479328,571,0.020007007708479328,28540,sentinel2,0.040014015416958655
0.1183752452408859,0.20129356454970215,0.7540142089128494,0.23231551349163057,0.7487633613422549,-3.528064208093002,0.2300182471747845,P5/P95,0.5216986954212188,28540,1427,0.05,1427,0.05,28540,sentinel2,0.1
0.08064518245214729,0.21719423577224312,0.7291012644767763,0.3489337205886841,0.7225683142477876,-4.468255505787498,0.2527728358617553,P10/P90,0.38016754388809215,28540,2854,0.1,2854,0.1,28540,sentinel2,0.2
0.2213190910892212,0.2297691421068914,0.784361215233803,0.16964731767773628,0.8995670738596339,-4.018117820008611,0.24073239459639723,P1/P99,0.6147138975560666,30220,303,0.010026472534745201,303,0.010026472534745201,30220,landsat,0.020052945069490402
0.20714020871108055,0.22308496549578188,0.7744999063014983,0.24216737270355224,0.8957421361008819,-3.8123765299561407,0.23574577001791372,P2/P98,0.5323325335979461,30220,605,0.0200198544010589,605,0.0200198544010589,30220,landsat,0.0400397088021178
0.13805770177511967,0.19603330684969164,0.7582488179206848,0.41676182597875594,0.8671069373396664,-3.0667441679213807,0.2167142829189043,P5/P95,0.34148699194192883,30220,1511,0.05,1511,0.05,30220,landsat,0.1
0.0592496025456155,0.20434275168087362,0.7421091794967651,0.5308406174182893,0.8143406156389085,-3.865779678423775,0.23705020162228904,P10/P90,0.21126856207847589,30220,3021,0.0999669093315685,3022,0.1,30220,landsat,0.1999669093315685
0.20573270716035996,0.2131148686802414,0.8088726842403411,0.2635504215955734,0.918781101662783,-3.2774060489516748,0.2256733825668285,P1/P99,0.5453222626447677,29214,293,0.010029437940713357,293,0.010029437940713357,29214,modis,0.020058875881426713
0.18589859915674792,0.20207626500427137,0.7998006737232208,0.3349600076675415,0.9142212944258179,-2.9893790340559403,0.21794291199556073,P2/P98,0.4648406660556793,29214,585,0.02002464571780653,585,0.02002464571780653,29214,modis,0.04004929143561306
0.11408063236966998,0.1784910647044618,0.7870761454105377,0.4739630177617073,0.8817691541592392,-2.5179993417218927,0.20466235907649266,P5/P95,0.3131131276488304,29214,1461,0.05001026904908606,1461,0.05001026904908606,29214,modis,0.10002053809817212
0.03512282010047521,0.201120690503174,0.773658949136734,0.5673736453056335,0.8257910111635509,-3.67551722132969,0.23594182228655572,P10/P90,0.20628530383110055,29214,2922,0.10002053809817212,2922,0.10002053809817212,29214,modis,0.20004107619634423
