Sensor,sensor,Best_OLS_window,OLS_RMSE,Best_endpoint,Formula_RMSE,Improvement_ratio
Sentinel-2,sentinel2,2023-2024,0.0737258046865463,P1/P99,0.219391259728977,2.9757730100301254
Landsat 8/9,landsat,2023,0.0466459542512893,P5/P95,0.2167142829189043,4.645939533178578
MODIS,modis,2022-2024,0.0428374744951725,P5/P95,0.2046623590764926,4.77764764352662
