Bias_expected,MAE_expected,NDVI_high_expected,NDVI_low_expected,Pearson_r_expected,R2_expected,RMSE_expected,quantile_configuration,endpoint_gap_expected,full_valid_n_expected,high_clip_count_expected,high_clip_ratio_expected,low_clip_count_expected,low_clip_ratio_expected,n_expected,sensor,total_clip_ratio_expected,AOI,NDVI_low_reconstructed,NDVI_high_reconstructed,endpoint_gap_reconstructed,low_clip_count_reconstructed,high_clip_count_reconstructed,low_clip_ratio_reconstructed,high_clip_ratio_reconstructed,total_clip_ratio_reconstructed,full_valid_n_reconstructed,RMSE_reconstructed,MAE_reconstructed,Bias_reconstructed,R2_reconstructed,Pearson_r_reconstructed,n_reconstructed,max_absolute_difference,pass
0.166047280523428,0.2002922189263685,0.7861861974000931,0.0417304163798689,0.7692901200126679,-3.119330533081129,0.219391259728977,P1/P99,0.7444557810202241,28540,286,0.0100210231254379,286,0.0100210231254379,28540,sentinel2,0.0200420462508759,AOI-00,0.04173041637986898,0.7861861974000931,0.7444557810202241,286,286,0.010021023125437982,0.010021023125437982,0.020042046250875963,28540,0.21939125972897705,0.2002922189263685,0.16604728052342807,-3.119330533081129,0.7692901200126679,28540,8.326672684688674e-17,True
0.1615151205023543,0.2035596706308861,0.7744151556491852,0.0853629331290721,0.7690102342005373,-3.294630999942272,0.2240107853862603,P2/P98,0.689052222520113,28540,571,0.0200070077084793,571,0.0200070077084793,28540,sentinel2,0.0400140154169586,AOI-00,0.08536293312907219,0.7744151556491852,0.689052222520113,571,571,0.020007007708479328,0.020007007708479328,0.040014015416958655,28540,0.22401078538626035,0.20355967063088615,0.16151512050235436,-3.294630999942272,0.7690102342005373,28540,8.326672684688674e-17,True
0.1183752452408859,0.2012935645497021,0.7540142089128494,0.2323155134916305,0.7487633613422549,-3.528064208093002,0.2300182471747845,P5/P95,0.5216986954212188,28540,1427,0.05,1427,0.05,28540,sentinel2,0.1,AOI-00,0.23231551349163057,0.7540142089128494,0.5216986954212188,1427,1427,0.05,0.05,0.1,28540,0.2300182471747845,0.20129356454970215,0.1183752452408859,-3.528064208093002,0.7487633613422549,28540,8.326672684688674e-17,True
0.0806451824521472,0.2171942357722431,0.7291012644767763,0.3489337205886841,0.7225683142477876,-4.468255505787498,0.2527728358617553,P10/P90,0.3801675438880921,28540,2854,0.1,2854,0.1,28540,sentinel2,0.2,AOI-00,0.3489337205886841,0.7291012644767763,0.38016754388809215,2854,2854,0.1,0.1,0.2,28540,0.2527728358617553,0.21719423577224312,0.08064518245214729,-4.468255505787498,0.7225683142477876,28540,8.326672684688674e-17,True
0.2213190910892212,0.2297691421068914,0.784361215233803,0.1696473176777362,0.8995670738596339,-4.018117820008611,0.2407323945963972,P1/P99,0.6147138975560666,30220,303,0.0100264725347452,303,0.0100264725347452,30220,landsat,0.0200529450694904,AOI-00,0.16964731767773628,0.784361215233803,0.6147138975560666,303,303,0.010026472534745201,0.010026472534745201,0.020052945069490402,30220,0.24073239459639723,0.2297691421068914,0.2213190910892212,-4.018117820008611,0.8995670738596339,30220,8.326672684688674e-17,True
0.2071402087110805,0.2230849654957818,0.7744999063014983,0.2421673727035522,0.8957421361008819,-3.8123765299561407,0.2357457700179137,P2/P98,0.5323325335979461,30220,605,0.0200198544010589,605,0.0200198544010589,30220,landsat,0.0400397088021178,AOI-00,0.24216737270355224,0.7744999063014983,0.5323325335979461,605,605,0.0200198544010589,0.0200198544010589,0.0400397088021178,30220,0.23574577001791372,0.22308496549578188,0.20714020871108055,-3.8123765299561407,0.8957421361008819,30220,8.326672684688674e-17,True
0.1380577017751196,0.1960333068496916,0.7582488179206848,0.4167618259787559,0.8671069373396664,-3.0667441679213807,0.2167142829189043,P5/P95,0.3414869919419288,30220,1511,0.05,1511,0.05,30220,landsat,0.1,AOI-00,0.41676182597875594,0.7582488179206848,0.34148699194192883,1511,1511,0.05,0.05,0.1,30220,0.2167142829189043,0.19603330684969164,0.13805770177511967,-3.0667441679213807,0.8671069373396664,30220,5.551115123125783e-17,True
0.0592496025456155,0.2043427516808736,0.7421091794967651,0.5308406174182893,0.8143406156389085,-3.865779678423775,0.237050201622289,P10/P90,0.2112685620784758,30220,3021,0.0999669093315685,3022,0.1,30220,landsat,0.1999669093315685,AOI-00,0.5308406174182893,0.7421091794967651,0.21126856207847589,3022,3021,0.1,0.0999669093315685,0.1999669093315685,30220,0.23705020162228904,0.20434275168087362,0.0592496025456155,-3.865779678423775,0.8143406156389085,30220,5.551115123125783e-17,True
0.2057327071603599,0.2131148686802414,0.8088726842403411,0.2635504215955734,0.918781101662783,-3.2774060489516748,0.2256733825668285,P1/P99,0.5453222626447677,29214,293,0.0100294379407133,293,0.0100294379407133,29214,modis,0.0200588758814267,AOI-00,0.2635504215955734,0.8088726842403411,0.5453222626447677,293,293,0.010029437940713357,0.010029437940713357,0.020058875881426713,29214,0.2256733825668285,0.2131148686802414,0.20573270716035996,-3.2774060489516748,0.918781101662783,29214,5.551115123125783e-17,True
0.1858985991567479,0.2020762650042713,0.7998006737232208,0.3349600076675415,0.914221294425818,-2.9893790340559403,0.2179429119955607,P2/P98,0.4648406660556793,29214,585,0.0200246457178065,585,0.0200246457178065,29214,modis,0.040049291435613,AOI-00,0.3349600076675415,0.7998006737232208,0.4648406660556793,585,585,0.02002464571780653,0.02002464571780653,0.04004929143561306,29214,0.21794291199556073,0.20207626500427137,0.18589859915674792,-2.9893790340559403,0.9142212944258179,29214,1.1102230246251565e-16,True
0.1140806323696699,0.1784910647044618,0.7870761454105377,0.4739630177617073,0.8817691541592392,-2.5179993417218927,0.2046623590764926,P5/P95,0.3131131276488304,29214,1461,0.050010269049086,1461,0.050010269049086,29214,modis,0.1000205380981721,AOI-00,0.4739630177617073,0.7870761454105377,0.3131131276488304,1461,1461,0.05001026904908606,0.05001026904908606,0.10002053809817212,29214,0.20466235907649266,0.1784910647044618,0.11408063236966998,-2.5179993417218927,0.8817691541592392,29214,8.326672684688674e-17,True
0.0351228201004752,0.201120690503174,0.773658949136734,0.5673736453056335,0.8257910111635509,-3.67551722132969,0.2359418222865557,P10/P90,0.2062853038311005,29214,2922,0.1000205380981721,2922,0.1000205380981721,29214,modis,0.2000410761963442,AOI-00,0.5673736453056335,0.773658949136734,0.20628530383110055,2922,2922,0.10002053809817212,0.10002053809817212,0.20004107619634423,29214,0.23594182228655572,0.201120690503174,0.03512282010047521,-3.67551722132969,0.8257910111635509,29214,2.7755575615628914e-17,True
