AOI,sensor,quantile_configuration,NDVI_low,NDVI_high,endpoint_gap,low_clip_count,high_clip_count,low_clip_ratio,high_clip_ratio,total_clip_ratio,full_valid_n,RMSE,MAE,Bias,R2,Pearson_r,n
AOI-00,sentinel2,P1/P99,0.04173041637986898,0.7861861974000931,0.7444557810202241,286,286,0.010021023125437982,0.010021023125437982,0.020042046250875963,28540,0.21939125972897705,0.2002922189263685,0.16604728052342807,-3.119330533081129,0.7692901200126679,28540
AOI-00,sentinel2,P2/P98,0.08536293312907219,0.7744151556491852,0.689052222520113,571,571,0.020007007708479328,0.020007007708479328,0.040014015416958655,28540,0.22401078538626035,0.20355967063088615,0.16151512050235436,-3.294630999942272,0.7690102342005373,28540
AOI-00,sentinel2,P5/P95,0.23231551349163057,0.7540142089128494,0.5216986954212188,1427,1427,0.05,0.05,0.1,28540,0.2300182471747845,0.20129356454970215,0.1183752452408859,-3.528064208093002,0.7487633613422549,28540
AOI-00,sentinel2,P10/P90,0.3489337205886841,0.7291012644767763,0.38016754388809215,2854,2854,0.1,0.1,0.2,28540,0.2527728358617553,0.21719423577224312,0.08064518245214729,-4.468255505787498,0.7225683142477876,28540
AOI-00,landsat,P1/P99,0.16964731767773628,0.784361215233803,0.6147138975560666,303,303,0.010026472534745201,0.010026472534745201,0.020052945069490402,30220,0.24073239459639723,0.2297691421068914,0.2213190910892212,-4.018117820008611,0.8995670738596339,30220
AOI-00,landsat,P2/P98,0.24216737270355224,0.7744999063014983,0.5323325335979461,605,605,0.0200198544010589,0.0200198544010589,0.0400397088021178,30220,0.23574577001791372,0.22308496549578188,0.20714020871108055,-3.8123765299561407,0.8957421361008819,30220
AOI-00,landsat,P5/P95,0.41676182597875594,0.7582488179206848,0.34148699194192883,1511,1511,0.05,0.05,0.1,30220,0.2167142829189043,0.19603330684969164,0.13805770177511967,-3.0667441679213807,0.8671069373396664,30220
AOI-00,landsat,P10/P90,0.5308406174182893,0.7421091794967651,0.21126856207847589,3022,3021,0.1,0.0999669093315685,0.1999669093315685,30220,0.23705020162228904,0.20434275168087362,0.0592496025456155,-3.865779678423775,0.8143406156389085,30220
AOI-00,modis,P1/P99,0.2635504215955734,0.8088726842403411,0.5453222626447677,293,293,0.010029437940713357,0.010029437940713357,0.020058875881426713,29214,0.2256733825668285,0.2131148686802414,0.20573270716035996,-3.2774060489516748,0.918781101662783,29214
AOI-00,modis,P2/P98,0.3349600076675415,0.7998006737232208,0.4648406660556793,585,585,0.02002464571780653,0.02002464571780653,0.04004929143561306,29214,0.21794291199556073,0.20207626500427137,0.18589859915674792,-2.9893790340559403,0.9142212944258179,29214
AOI-00,modis,P5/P95,0.4739630177617073,0.7870761454105377,0.3131131276488304,1461,1461,0.05001026904908606,0.05001026904908606,0.10002053809817212,29214,0.20466235907649266,0.1784910647044618,0.11408063236966998,-2.5179993417218927,0.8817691541592392,29214
AOI-00,modis,P10/P90,0.5673736453056335,0.773658949136734,0.20628530383110055,2922,2922,0.10002053809817212,0.10002053809817212,0.20004107619634423,29214,0.23594182228655572,0.201120690503174,0.03512282010047521,-3.67551722132969,0.8257910111635509,29214
