sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,n,block_n,RMSE,MAE,Bias,R2,Pearson_r,slope,intercept,train_n,train_block_n
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,20158,39,0.055475284534905876,0.03920708619935411,0.014336726310084844,0.6592814296176017,0.826406345634119,1.234011785480525,-0.2672896316576667,17709,39
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,20158,39,0.05410337362401593,0.03828049715309579,0.001638284340764666,0.6759250812130324,0.8262386292172186,1.1551313734412114,-0.22569733189890084,18637,39
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,20158,39,0.0578411170935041,0.04258265786735607,-0.020609499846144318,0.6296007728125247,0.8263968396235137,1.157629710242255,-0.2496712152563645,19655,39
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,20158,39,0.0543083915926074,0.03836485202566797,0.006467391224625686,0.673464344947005,0.8262640948772378,1.1744376129279617,-0.23415527057490104,36346,39
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,20158,39,0.05495243241665619,0.039361640453323514,-0.009801059085852755,0.6656736787545658,0.8263030062358591,1.1554035529611224,-0.23732678673065022,38292,39
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,20158,39,0.054351797321238765,0.038623447369081965,-0.003935445242216311,0.6729421721602598,0.8262329743488965,1.140900812381579,-0.22147782056941345,56001,39
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-01,landsat,2022,2025,W2022,8560,34,0.0015390452961870685,0.00047635241139762813,-0.00018578509146987058,0.11247691393765502,0.5308131100229809,0.03685887434462647,-0.0019576705917517686,16076,35
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-01,landsat,2023,2025,W2023,8560,34,0.0014702593291553705,0.0005841823542887169,3.1450298429395916e-06,0.19003781658574148,0.5174902080871743,0.06196881477773171,-0.003217036338052651,18809,35
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-01,landsat,2024,2025,W2024,8560,34,0.0014596118008602787,0.0005866883113877784,1.8289197220143127e-05,0.20172673092863957,0.5217112271698483,0.06759827978355502,-0.0035355563855799027,16065,35
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,8560,34,0.0015014705268912999,0.0005253130711265258,-9.867465795488159e-05,0.15528447111911337,0.523486694126555,0.048851118218087936,-0.002562911615528796,34885,35
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,8560,34,0.001465175634557485,0.0005854107791054037,1.0326767060674017e-05,0.19562932226221286,0.519526916848801,0.06461020056181882,-0.0033663357615053894,34874,35
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,8560,34,0.0014869718874969625,0.0005423497846808878,-6.511363074223506e-05,0.1715193478282212,0.5233888178936001,0.05457086598009377,-0.0028625078863545373,50950,35
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-02,landsat,2022,2025,W2022,3006,29,0.08345886908181958,0.06162682185808898,0.026710873576226795,0.484070319284723,0.7373414232455323,0.9601105892816926,-0.11236559044611816,12670,36
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-02,landsat,2023,2025,W2023,3006,29,0.0815745445793567,0.06168903099353535,0.012025929745461026,0.5071045175379566,0.7373061764063811,1.0615186077406784,-0.19639704221432885,1479,13
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-02,landsat,2024,2025,W2024,3006,29,0.07907776566487458,0.060989978878736285,0.0026205348257255785,0.5368151970943102,0.7373461723669053,0.9578370241311646,-0.13491623107985884,548,20
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,3006,29,0.08296341025806722,0.061571790625487656,0.02332821361354535,0.4901778344660679,0.7373504940904604,0.9991848616967812,-0.14241237920595784,7098,12
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-02,landsat,2023;2024,2025,W2023_2024,3006,29,0.08019064656216174,0.060982303326346535,0.009442842126445297,0.5236864325286212,0.7373774632433596,1.0020358163861494,-0.15827220752173676,1422,8
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-02,landsat,2022;2023;2024,2025,W2022_2024,3006,29,0.07936571653958945,0.061302726226564595,0.002008642440521521,0.5334358071867357,0.7373733520929667,0.9829391982194108,-0.15267479238197879,3804,7
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-03,landsat,2022,2025,W2022,11693,35,0.037962310281169254,0.026411320158025848,0.004207991291465593,0.8511093212384491,0.9238492102521155,0.7996352618654928,-0.0622864808193799,14794,35
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-03,landsat,2023,2025,W2023,11693,35,0.03991992180270006,0.029108032304667672,0.012673839692838284,0.8353576317168704,0.9238163276367611,0.8119808090705377,-0.05684925916875355,5295,35
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-03,landsat,2024,2025,W2024,11693,35,0.039363461321738805,0.028137942365045427,0.010432395803793742,0.8399156781106282,0.9238335081080852,0.8201259478074142,-0.06110600271239597,13404,35
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-03,landsat,2022;2023,2025,W2022_2023,11693,35,0.038322812118257416,0.026946506090038763,0.006458713153026415,0.8482680704429794,0.9238410068088759,0.8050089821517297,-0.06135639872818538,20089,35
landsat_sr_qa_aerosol,strict_aerosol_matched,multi_aoi,AOI-03,landsat,2023;2024,2025,W2023_2024,11693,35,0.03950550250038763,0.028415151732649118,0.011095787389067201,0.8387582803353205,0.9238275006129109,0.8170850447274336,-0.05969029023725886,18699,35
