sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,slope,intercept,train_n,train_block_n
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,landsat,2023,2025,W2023,0.10954021202802688,-0.005685602641599026,19878,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,landsat,2024,2025,W2024,0.10080825874284381,-0.0051651411704176945,19872,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,0.09823332194897134,-0.005151154769054026,39027,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,0.10532814950213998,-0.005432412362311426,39750,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,0.09869899820912302,-0.005134813201461079,58899,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,modis,2022,2025,W2022,0.09568404115532889,-0.005289516578059205,19878,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,modis,2023,2025,W2023,0.08499479997597836,-0.004755377108064158,19878,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,modis,2024,2025,W2024,0.05110988172159862,-0.0028150944328324307,19878,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,modis,2022;2023,2025,W2022_2023,0.08915047558027024,-0.004957849780149058,39756,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,modis,2023;2024,2025,W2023_2024,0.06687752754099957,-0.003721207230210428,39756,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,modis,2022;2023;2024,2025,W2022_2024,0.07394526946946699,-0.004107939125663433,59634,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,sentinel2,2022,2025,W2022,0.07362300075882314,-0.0021717558867151822,19878,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,sentinel2,2023,2025,W2023,0.07613351471289263,-0.002456796296633734,19729,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,sentinel2,2024,2025,W2024,0.06445250534104657,-0.0020341700055471106,19878,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,sentinel2,2022;2023,2025,W2022_2023,0.07344932199686435,-0.002264588496996636,39607,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,sentinel2,2023;2024,2025,W2023_2024,0.07062203909620082,-0.002255905685942124,39607,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-01,sentinel2,2022;2023;2024,2025,W2022_2024,0.07057365270261863,-0.0021946778130681245,59485,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,landsat,2022,2025,W2022,0.9778134552518261,-0.07893077800392967,15357,37
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,landsat,2023,2025,W2023,1.032837088909597,-0.0879505108267955,2686,15
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,landsat,2024,2025,W2024,1.0145689898668873,-0.0883789183777191,1542,30
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,0.9954864633534574,-0.08236274659659426,10105,15
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,landsat,2023;2024,2025,W2023_2024,1.0243341535316377,-0.08274172453985307,3407,14
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,landsat,2022;2023;2024,2025,W2022_2024,0.9920488741735296,-0.07874941484579145,10599,14
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,modis,2022,2025,W2022,1.078681878766541,-0.13234187945151143,18558,38
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,modis,2023,2025,W2023,1.099795192397648,-0.16751554611412312,9553,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,modis,2024,2025,W2024,1.0791666078148952,-0.13168707625999154,17909,38
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,modis,2022;2023,2025,W2022_2023,1.0630927316723782,-0.1303987418442502,27583,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,modis,2023;2024,2025,W2023_2024,1.0751804582260727,-0.13721088922672808,27078,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,modis,2022;2023;2024,2025,W2022_2024,1.0712191511930491,-0.13203164389488253,45108,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,sentinel2,2022,2025,W2022,0.8720815584970345,0.004934670780700923,18847,38
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,sentinel2,2023,2025,W2023,0.8812162682571705,0.0317363714769483,7586,37
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,sentinel2,2024,2025,W2024,0.8588536494727403,0.03326519436156583,18284,38
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,sentinel2,2022;2023,2025,W2022_2023,0.8767085097180858,0.011401067330414183,26061,37
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,sentinel2,2023;2024,2025,W2023_2024,0.8618469010674559,0.03422536496455547,25498,37
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-02,sentinel2,2022;2023;2024,2025,W2022_2024,0.8715566589278743,0.018698540946084308,43973,37
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,landsat,2022,2025,W2022,0.8794830332519158,-0.07694415233456675,16230,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,landsat,2023,2025,W2023,0.9643769491644596,-0.07494910528627169,11178,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,landsat,2024,2025,W2024,0.88728595321007,-0.07182197278252117,15551,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,landsat,2022;2023,2025,W2022_2023,0.919049435471815,-0.07729541703790482,27408,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,landsat,2023;2024,2025,W2023_2024,0.9150460019278209,-0.07232176131147353,26729,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,landsat,2022;2023;2024,2025,W2022_2024,0.906043527373167,-0.07506609062152636,42959,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,modis,2022,2025,W2022,0.9880589113373794,-0.10338806817692914,18858,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,modis,2023,2025,W2023,1.029526538347602,-0.10482926625998135,17967,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,modis,2024,2025,W2024,0.9427236020909477,-0.10776095969472507,18695,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,modis,2022;2023,2025,W2022_2023,1.013409608062736,-0.10518345600012355,36825,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,modis,2023;2024,2025,W2023_2024,0.9656633406731713,-0.10169441721820027,36662,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,modis,2022;2023;2024,2025,W2022_2024,0.969677813581062,-0.10149331436497588,55520,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,sentinel2,2022,2025,W2022,0.8372042917999801,-0.037342147810307924,19267,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,sentinel2,2023,2025,W2023,0.8238965927972842,-0.03663705485363522,16731,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,sentinel2,2024,2025,W2024,0.8225156139359123,-0.03184484833354037,19142,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,sentinel2,2022;2023,2025,W2022_2023,0.8293543120646565,-0.036756566578905026,35998,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,sentinel2,2023;2024,2025,W2023_2024,0.8222434796223633,-0.03387200058105033,35873,35
spatial_aggregation_order,primary_ndvi_first,multi_aoi,AOI-03,sentinel2,2022;2023;2024,2025,W2022_2024,0.8270263361017186,-0.0350710359697437,55140,35
