sensor,AOI,year,aerosol_mode,observations_before_aerosol_qa,observations_after_aerosol_qa,observations_removed,retention_fraction,missing_aerosol_QA_count,retained_300m_identities
landsat,AOI-01,2025,strict_aerosol,14738,8560,6178,0.5808115076672548,0,8560
landsat,AOI-02,2021,strict_aerosol,1040,756,284,0.7269230769230769,0,756
landsat,AOI-02,2022,strict_aerosol,15357,12670,2687,0.8250309305202839,0,12670
landsat,AOI-02,2023,strict_aerosol,2686,1479,1207,0.5506329113924051,0,1479
landsat,AOI-02,2024,strict_aerosol,1542,548,994,0.3553826199740597,0,548
landsat,AOI-02,2025,strict_aerosol,7600,3006,4594,0.39552631578947367,0,3006
landsat,AOI-03,2021,strict_aerosol,714,591,123,0.8277310924369747,0,591
landsat,AOI-03,2022,strict_aerosol,16230,14794,1436,0.9115218730745533,0,14794
landsat,AOI-03,2023,strict_aerosol,11178,5295,5883,0.4736983360171766,0,5295
landsat,AOI-03,2024,strict_aerosol,15551,13404,2147,0.8619381390264291,0,13404
landsat,AOI-03,2025,strict_aerosol,14402,11693,2709,0.8119011248437717,0,11693
