aerosol_mode,AOI,sensor,window,primary_n,primary_RMSE,primary_MAE,primary_Bias,primary_R2,primary_Pearson_r,primary_slope,primary_intercept,sensitivity_n,sensitivity_RMSE,sensitivity_MAE,sensitivity_Bias,sensitivity_R2,sensitivity_Pearson_r,sensitivity_slope,sensitivity_intercept,primary_matched_n,primary_matched_RMSE,primary_matched_MAE,primary_matched_Bias,primary_matched_R2,primary_matched_Pearson_r,primary_matched_slope,primary_matched_intercept,sensitivity_matched_n,sensitivity_matched_RMSE,sensitivity_matched_MAE,sensitivity_matched_Bias,sensitivity_matched_R2,sensitivity_matched_Pearson_r,sensitivity_matched_slope,sensitivity_matched_intercept,matched_n,retention_fraction,delta_RMSE_operational,delta_RMSE_matched,delta_MAE_operational,delta_MAE_matched,delta_Bias_operational,delta_Bias_matched,delta_slope_operational,delta_slope_matched,delta_intercept_operational,delta_intercept_matched
primary_no_aerosol_filter,AOI-00,landsat,W2022,20251,0.04860363397715825,0.0390026305283236,-0.008582035576081948,0.7553387468902049,0.8753008071620663,0.9135300192938224,-0.043155574051828016,20251,0.04860363397715825,0.0390026305283236,-0.008582035576081948,0.7553387468902049,0.8753008071620663,0.9135300192938224,-0.043155574051828016,20251,0.04860363397715825,0.0390026305283236,-0.008582035576081948,0.7553387468902049,0.8753008071620663,0.9135300192938224,-0.043155574051828016,20251,0.04860363397715825,0.0390026305283236,-0.008582035576081948,0.7553387468902049,0.8753008071620663,0.9135300192938224,-0.043155574051828016,20251,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-00,landsat,W2023,20251,0.047622661005005715,0.038885385163777,-0.0031412794403350413,0.7651151369039467,0.875300807162067,0.8544793879372247,0.0011015203776354454,20251,0.047622661005005715,0.038885385163777,-0.0031412794403350413,0.7651151369039467,0.875300807162067,0.8544793879372247,0.0011015203776354454,20251,0.047622661005005715,0.038885385163777,-0.0031412794403350413,0.7651151369039467,0.875300807162067,0.8544793879372247,0.0011015203776354454,20251,0.047622661005005715,0.038885385163777,-0.0031412794403350413,0.7651151369039467,0.875300807162067,0.8544793879372247,0.0011015203776354454,20251,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-00,landsat,W2024,20251,0.05459148698931992,0.043455352786185134,-0.026620959027305786,0.6913419838552173,0.8753008071620669,0.821342425568143,-0.0005959104544163152,20251,0.05459148698931992,0.043455352786185134,-0.026620959027305786,0.6913419838552173,0.8753008071620669,0.821342425568143,-0.0005959104544163152,20251,0.05459148698931992,0.043455352786185134,-0.026620959027305786,0.6913419838552173,0.8753008071620669,0.821342425568143,-0.0005959104544163152,20251,0.05459148698931992,0.043455352786185134,-0.026620959027305786,0.6913419838552173,0.8753008071620669,0.821342425568143,-0.0005959104544163152,20251,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-00,landsat,W2022_2023,20251,0.04797847843903022,0.03885990272724079,-0.006017645668735735,0.761592093412617,0.8753008071620679,0.8860855093515932,-0.022550811709008967,20251,0.04797847843903022,0.03885990272724079,-0.006017645668735735,0.761592093412617,0.8753008071620679,0.8860855093515932,-0.022550811709008967,20251,0.04797847843903022,0.03885990272724079,-0.006017645668735735,0.761592093412617,0.8753008071620679,0.8860855093515932,-0.022550811709008967,20251,0.04797847843903022,0.03885990272724079,-0.006017645668735735,0.761592093412617,0.8753008071620679,0.8860855093515932,-0.022550811709008967,20251,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-00,landsat,W2023_2024,20251,0.04992647284457533,0.04024357008372471,-0.01515288336156512,0.7418396842401004,0.8753008071620647,0.8355955161455583,0.00150303954960318,20251,0.04992647284457533,0.04024357008372471,-0.01515288336156512,0.7418396842401004,0.8753008071620647,0.8355955161455583,0.00150303954960318,20251,0.04992647284457533,0.04024357008372471,-0.01515288336156512,0.7418396842401004,0.8753008071620647,0.8355955161455583,0.00150303954960318,20251,0.04992647284457533,0.04024357008372471,-0.01515288336156512,0.7418396842401004,0.8753008071620647,0.8355955161455583,0.00150303954960318,20251,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-00,landsat,W2022_2024,20251,0.04941579865093187,0.03980078399718749,-0.013564831734708419,0.7470938734763888,0.8753008071620675,0.8574769860461495,-0.011292472868706382,20251,0.04941579865093187,0.03980078399718749,-0.013564831734708419,0.7470938734763888,0.8753008071620675,0.8574769860461495,-0.011292472868706382,20251,0.04941579865093187,0.03980078399718749,-0.013564831734708419,0.7470938734763888,0.8753008071620675,0.8574769860461495,-0.011292472868706382,20251,0.04941579865093187,0.03980078399718749,-0.013564831734708419,0.7470938734763888,0.8753008071620675,0.8574769860461495,-0.011292472868706382,20251,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-01,landsat,W2022,14738,0.0013951280046526457,0.0005133119633503603,-2.6646491557405317e-05,0.33357066162505355,0.6635350736346491,0.08803757795969219,-0.0046682387840633836,14738,0.0013951280046526457,0.0005133119633503603,-2.6646491557405317e-05,0.33357066162505355,0.6635350736346491,0.08803757795969219,-0.0046682387840633836,14738,0.0013951280046526457,0.0005133119633503603,-2.6646491557405317e-05,0.33357066162505355,0.6635350736346491,0.08803757795969219,-0.0046682387840633836,14738,0.0013951280046526457,0.0005133119633503603,-2.6646491557405317e-05,0.33357066162505355,0.6635350736346491,0.08803757795969219,-0.0046682387840633836,14738,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-01,landsat,W2023,14738,0.0013556186888521898,0.0006013871447245716,0.0001330803360065238,0.3707820696504037,0.6489570632237285,0.10954021202802719,-0.005685602641599043,14738,0.0013556186888521898,0.0006013871447245716,0.0001330803360065238,0.3707820696504037,0.6489570632237285,0.10954021202802719,-0.005685602641599043,14738,0.0013556186888521898,0.0006013871447245716,0.0001330803360065238,0.3707820696504037,0.6489570632237285,0.10954021202802719,-0.005685602641599043,14738,0.0013556186888521898,0.0006013871447245716,0.0001330803360065238,0.3707820696504037,0.6489570632237285,0.10954021202802719,-0.005685602641599043,14738,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-01,landsat,W2024,14738,0.0013752216480642538,0.0006170496079467353,0.00013499608549722006,0.35245285149110306,0.6404183852649127,0.10080825874284378,-0.005165141170417693,14738,0.0013752216480642538,0.0006170496079467353,0.00013499608549722006,0.35245285149110306,0.6404183852649127,0.10080825874284378,-0.005165141170417693,14738,0.0013752216480642538,0.0006170496079467353,0.00013499608549722006,0.35245285149110306,0.6404183852649127,0.10080825874284378,-0.005165141170417693,14738,0.0013752216480642538,0.0006170496079467353,0.00013499608549722006,0.35245285149110306,0.6404183852649127,0.10080825874284378,-0.005165141170417693,14738,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_no_aerosol_filter,AOI-01,landsat,W2022_2023,14738,0.0013713010198709208,0.0005540147435389917,4.798856368002937e-05,0.3561397810590149,0.6558753778521146,0.09823332194897147,-0.005151154769054033,14738,0.0013713010198709208,0.0005540147435389917,4.798856368002937e-05,0.3561397810590149,0.6558753778521146,0.09823332194897147,-0.005151154769054033,14738,0.0013713010198709208,0.0005540147435389917,4.798856368002937e-05,0.3561397810590149,0.6558753778521146,0.09823332194897147,-0.005151154769054033,14738,0.0013713010198709208,0.0005540147435389917,4.798856368002937e-05,0.3561397810590149,0.6558753778521146,0.09823332194897147,-0.005151154769054033,14738,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
