aerosol_mode,AOI,sensor,target_year,contrast,mean_difference_RMSE_primary,mean_difference_RMSE_aerosol,block_contrast_direction_changed
valid_retrieval_no_high,AOI-01,landsat,2024,2y_vs_3y,1.5741736864873898e-05,1.1900935425072484e-05,False
valid_retrieval_no_high,AOI-01,landsat,2025,1y_vs_2y,8.972865900383957e-06,2.1017736776495583e-06,False
valid_retrieval_no_high,AOI-01,landsat,2025,1y_vs_3y,2.074563365622042e-05,1.1559605184663e-05,False
valid_retrieval_no_high,AOI-01,landsat,2025,2y_vs_3y,1.1772767755836464e-05,9.457831507013444e-06,False
valid_retrieval_no_high,AOI-02,landsat,2024,1y_vs_2y,-0.0002206693921099,0.0006582847524088,True
valid_retrieval_no_high,AOI-02,landsat,2024,1y_vs_3y,-0.0011470677905716,0.0058453099334361,True
valid_retrieval_no_high,AOI-02,landsat,2024,2y_vs_3y,-0.0009263983984616,0.0051870251810273,True
valid_retrieval_no_high,AOI-02,landsat,2025,1y_vs_2y,-0.0041243923730947,-0.0030131592935719,False
valid_retrieval_no_high,AOI-02,landsat,2025,1y_vs_3y,0.0008976396559303,-0.0014683482734489,True
valid_retrieval_no_high,AOI-02,landsat,2025,2y_vs_3y,0.005022032029025,0.0015448110201229,False
valid_retrieval_no_high,AOI-03,landsat,2024,1y_vs_2y,0.0060858411174118,0.0018002912413368,False
valid_retrieval_no_high,AOI-03,landsat,2024,1y_vs_3y,0.0054896043425865,0.0014070367463018,False
valid_retrieval_no_high,AOI-03,landsat,2024,2y_vs_3y,-0.0005962367748253,-0.0003932544950349,False
valid_retrieval_no_high,AOI-03,landsat,2025,1y_vs_2y,-0.0022318458622204,-0.0007119801839161,False
valid_retrieval_no_high,AOI-03,landsat,2025,1y_vs_3y,-0.0004889250407924,0.0003483329123793,True
valid_retrieval_no_high,AOI-03,landsat,2025,2y_vs_3y,0.001742920821428,0.0010603130962955,False
strict_aerosol,AOI-00,landsat,2024,1y_vs_2y,0.0006368629674129,-0.0019096162537612,True
strict_aerosol,AOI-00,landsat,2024,1y_vs_3y,0.0010314995164105,-0.0002658796076579,True
strict_aerosol,AOI-00,landsat,2024,2y_vs_3y,0.0003946365489975,0.0016437366461033,False
strict_aerosol,AOI-00,landsat,2025,1y_vs_2y,0.0032157462577057,0.0026838873041708,False
strict_aerosol,AOI-00,landsat,2025,1y_vs_3y,0.0033603162016452,0.0030656740926582,False
strict_aerosol,AOI-00,landsat,2025,2y_vs_3y,0.0001445699439395,0.0003817867884873,False
strict_aerosol,AOI-01,landsat,2024,1y_vs_2y,3.510114377702058e-05,2.7416428519909257e-05,False
strict_aerosol,AOI-01,landsat,2024,1y_vs_3y,5.084288064189448e-05,3.487730546876358e-05,False
strict_aerosol,AOI-01,landsat,2024,2y_vs_3y,1.5741736864873898e-05,7.460876948854317e-06,False
strict_aerosol,AOI-01,landsat,2025,1y_vs_2y,8.972865900383957e-06,-2.3599138089743142e-06,True
strict_aerosol,AOI-01,landsat,2025,1y_vs_3y,2.074563365622042e-05,8.686968736443903e-06,False
strict_aerosol,AOI-01,landsat,2025,2y_vs_3y,1.1772767755836464e-05,1.1046882545418211e-05,False
strict_aerosol,AOI-02,landsat,2024,1y_vs_2y,-0.0002206693921099,-0.0033831251417113,False
strict_aerosol,AOI-02,landsat,2024,1y_vs_3y,-0.0011470677905716,0.0024949438953011,True
strict_aerosol,AOI-02,landsat,2024,2y_vs_3y,-0.0009263983984616,0.0058780690370125,True
strict_aerosol,AOI-02,landsat,2025,1y_vs_2y,-0.0041243923730947,-0.0010564522754909,False
strict_aerosol,AOI-02,landsat,2025,1y_vs_3y,0.0008976396559303,-0.0002791861782135,True
strict_aerosol,AOI-02,landsat,2025,2y_vs_3y,0.005022032029025,0.0007772660972773,False
strict_aerosol,AOI-03,landsat,2024,1y_vs_2y,0.0060858411174118,0.0007504035670281,False
strict_aerosol,AOI-03,landsat,2024,1y_vs_3y,0.0054896043425865,0.0006564042395064,False
strict_aerosol,AOI-03,landsat,2024,2y_vs_3y,-0.0005962367748253,-9.399932752177396e-05,False
strict_aerosol,AOI-03,landsat,2025,1y_vs_2y,-0.0022318458622204,-0.000171223196885,False
strict_aerosol,AOI-03,landsat,2025,1y_vs_3y,-0.0004889250407924,0.00083401544839,True
strict_aerosol,AOI-03,landsat,2025,2y_vs_3y,0.001742920821428,0.001005238645275,False
