sensor,target_year,AOIs_1y_best,AOIs_2y_best,AOIs_3y_best,monotonic_decrease_count,non_monotonic_count
landsat,2024,1,2,1,1,3
landsat,2025,1,1,2,1,3
modis,2024,0,0,4,3,1
modis,2025,1,1,2,2,2
sentinel2,2024,0,1,3,1,3
sentinel2,2025,0,0,4,2,2
