execution_id,experiment,AOI,sensor,train_years,target_year,processing_hash,source_manifest_hash,AOI_geometry_hash,block_manifest_hash,code_version,timestamp,rolling_id,history_length,slope,intercept,train_n,train_block_n
rolling_origin-ce58854ce20207e5069d,rolling_origin,AOI-00,landsat,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.343661+00:00,R2025-H2,2,0.8355955161455593,0.001503039549602625,39742,39
rolling_origin-2181f6b6e0bb0f057e2d,rolling_origin,AOI-00,landsat,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.376024+00:00,R2025-H3,3,0.8574769860461495,-0.011292472868706382,58330,39
rolling_origin-11f50937d0c846a20e4e,rolling_origin,AOI-00,modis,2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.450241+00:00,R2024-H1,1,0.9776553074753339,-0.10019273470351209,20256,39
rolling_origin-290191cac79a90db9b7f,rolling_origin,AOI-00,modis,2022;2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.478921+00:00,R2024-H2,2,0.9987877562275846,-0.11577673536057442,40512,39
rolling_origin-3447a23284ae6c531bc3,rolling_origin,AOI-00,modis,2021;2022;2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.512236+00:00,R2024-H3,3,0.9767703732946386,-0.1033914010245276,60760,39
rolling_origin-1e37c4924fd51893ef96,rolling_origin,AOI-00,modis,2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.538416+00:00,R2025-H1,1,0.9366411712572598,-0.09070192044512082,20256,39
rolling_origin-dc5f01a0a517946b1599,rolling_origin,AOI-00,modis,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.567566+00:00,R2025-H2,2,0.958794174558208,-0.09651557567545455,40512,39
rolling_origin-e6c3d366eda005cb8ab1,rolling_origin,AOI-00,modis,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.600876+00:00,R2025-H3,3,0.9752383787223315,-0.1057153983201129,60768,39
rolling_origin-6c5bd88a424b22f1b463,rolling_origin,AOI-01,sentinel2,2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.672400+00:00,R2024-H1,1,0.07613351471289288,-0.0024567962966337425,19729,35
rolling_origin-8b841fba2567db142124,rolling_origin,AOI-01,sentinel2,2022;2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.702112+00:00,R2024-H2,2,0.07344932199686377,-0.0022645884969966167,39607,35
rolling_origin-ffc88af5bfa3b14e1e8c,rolling_origin,AOI-01,sentinel2,2021;2022;2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.735416+00:00,R2024-H3,3,0.07878092592007613,-0.0025333580949566904,59485,35
rolling_origin-b6c52692cf48be1ae45e,rolling_origin,AOI-01,sentinel2,2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.761755+00:00,R2025-H1,1,0.06445250534104617,-0.0020341700055470967,19878,35
rolling_origin-f5bd6d07f7976de0dbbf,rolling_origin,AOI-01,sentinel2,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.790269+00:00,R2025-H2,2,0.07062203909620057,-0.002255905685942116,39607,35
rolling_origin-cd3a82bce60aaa0c1512,rolling_origin,AOI-01,sentinel2,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.822916+00:00,R2025-H3,3,0.07057365270261756,-0.002194677813068089,59485,35
rolling_origin-dcae383708c42d8c5e33,rolling_origin,AOI-01,landsat,2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.892953+00:00,R2024-H1,1,0.1095402120280271,-0.0056856026415990375,19878,35
rolling_origin-bde86f10613872b2c966,rolling_origin,AOI-01,landsat,2022;2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.921512+00:00,R2024-H2,2,0.09823332194897152,-0.0051511547690540355,39027,35
rolling_origin-0229cb90eed163fe1754,rolling_origin,AOI-01,landsat,2021;2022;2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.953310+00:00,R2024-H3,3,0.09662792894359894,-0.005107224644724585,50177,35
rolling_origin-8dba7896042634100b38,rolling_origin,AOI-01,landsat,2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.979362+00:00,R2025-H1,1,0.10080825874284369,-0.005165141170417688,19872,35
rolling_origin-ba6abeab42dffea2ea57,rolling_origin,AOI-01,landsat,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:47.007954+00:00,R2025-H2,2,0.10532814950214119,-0.00543241236231149,39750,35
rolling_origin-5432cebe5b4fb27e3d62,rolling_origin,AOI-01,landsat,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:47.039428+00:00,R2025-H3,3,0.09869899820912358,-0.0051348132014611084,58899,35
