execution_id,experiment,AOI,sensor,train_years,target_year,processing_hash,source_manifest_hash,AOI_geometry_hash,block_manifest_hash,code_version,timestamp,rolling_id,history_length,target_n,target_block_n,RMSE,MAE,Bias,R2,Pearson_r,n,history_length_rank_by_global_RMSE
rolling_origin-ce58854ce20207e5069d,rolling_origin,AOI-00,landsat,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.343661+00:00,R2025-H2,2,20251,39,0.04992647284457529,0.04024357008372468,-0.01515288336156502,0.7418396842401008,0.8753008071620672,20251,2.0
rolling_origin-2181f6b6e0bb0f057e2d,rolling_origin,AOI-00,landsat,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.376024+00:00,R2025-H3,3,20251,39,0.04941579865093187,0.0398007839971875,-0.013564831734708419,0.7470938734763888,0.875300807162066,20251,1.0
rolling_origin-11f50937d0c846a20e4e,rolling_origin,AOI-00,modis,2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.450241+00:00,R2024-H1,1,20256,39,0.04563912665302199,0.03737105013442317,0.017348173704043245,0.7595941942574856,0.8921070756870437,20256,3.0
rolling_origin-290191cac79a90db9b7f,rolling_origin,AOI-00,modis,2022;2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.478921+00:00,R2024-H2,2,20256,39,0.04518691537902302,0.036921101155368695,0.015595780097063167,0.7643346716066601,0.8921236198273842,20256,2.0
rolling_origin-3447a23284ae6c531bc3,rolling_origin,AOI-00,modis,2021;2022;2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.512236+00:00,R2024-H3,3,20256,39,0.04433428920759967,0.036186264331741956,0.01357061085127728,0.7731442449939067,0.8921089734613143,20256,1.0
rolling_origin-1e37c4924fd51893ef96,rolling_origin,AOI-00,modis,2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.538416+00:00,R2025-H1,1,20256,39,0.04322787930996629,0.0336620010550069,-0.017883078265251123,0.8074946500900887,0.918938144275343,20256,3.0
rolling_origin-dc5f01a0a517946b1599,rolling_origin,AOI-00,modis,2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.567566+00:00,R2025-H2,2,20256,39,0.04002219403667385,0.03149873150648683,-0.008592155694392995,0.8349875435965004,0.9189381442753424,20256,2.0
rolling_origin-e6c3d366eda005cb8ab1,rolling_origin,AOI-00,modis,2022;2023;2024,2025,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,1546767a1ff01463f1bf4ea81cd86b44fbf42ba20f48c2d45d50120a3bab3ca5,da07a6bbac9293f09a6effffcf5dbea99b553c25f0c77c183163cdcec9ea4121,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.600876+00:00,R2025-H3,3,20256,39,0.039507932464609805,0.0311795790203667,-0.006579829909269168,0.8392009241772134,0.9189381442753416,20256,1.0
rolling_origin-6c5bd88a424b22f1b463,rolling_origin,AOI-01,sentinel2,2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.672400+00:00,R2024-H1,1,19878,35,0.001262532688527511,0.00038251896581068,0.00011587511667801135,0.3566886020710126,0.721618340955829,19878,2.0
rolling_origin-8b841fba2567db142124,rolling_origin,AOI-01,sentinel2,2022;2023,2024,3fab57b81623045f745beeaa0c1615c51b0d44344beaa74a1025ee4450b699c7,9abcfb4ecbe4b063ec61cc922755009544dc617843ae27ba909a649bab41a3d6,18ae788e0cf1ef68015dfee09e2ef7a0a1af4676e0b5d436994b707dfe92dec3,a8f53f162d19c589361001b4f38cd05f828cb16b4c645292c65e266e42c873ff,4f4edd63727cab87abbe3961a2b2203656f8bcd1d1ef5702a3c6764ff611f672,2026-08-29T05:02:46.702112+00:00,R2024-H2,2,19878,35,0.001283010828018938,0.0004401441957590559,0.00017571242968058223,0.3356504782832469,0.6966180048661349,19878,3.0
