sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,fold,train_n,test_n,train_blocks,test_blocks,RMSE,MAE,Bias,R2,Pearson_r,n
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,2,38403,9633,23,8,0.05461809336407352,0.04427713116789438,-0.013571056011279609,0.5985354100741849,0.7896745526568606,9633
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,3,38392,9644,24,7,0.04880489707895443,0.038647069189954315,-0.015414146243126607,0.8255875068594505,0.9182871146204733,9644
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,4,38449,9587,25,6,0.049003139746855676,0.0400068382361359,0.006629198302361025,0.6999048069125184,0.8411872935374384,9587
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,5,38456,9580,26,5,0.04684948077085488,0.037438706411324685,-0.002917484089789516,0.7442127703586892,0.8645098439178815,9580
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-01,landsat,2022,2025,W2022,1,11758,3015,23,5,0.0010419664454326633,0.0006594765864452075,0.00048157130698225497,0.34160788781609475,0.6944761354767918,3015
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-01,landsat,2022,2025,W2022,2,11845,2928,22,6,0.0006670756653448154,0.00039484773149975143,0.0003674122396943646,-4.117536674235754,0.1566406433098861,2928
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-01,landsat,2022,2025,W2022,3,11777,2996,23,5,0.0006103315034568516,0.0002785228897348134,0.0001716157639982168,0.17428115717087844,0.5662456020196326,2996
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-01,landsat,2022,2025,W2022,4,11867,2906,21,7,0.0012493155056395493,0.00023908290124133048,8.180267628158842e-05,0.5317928068626063,0.8653608858835411,2906
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-01,landsat,2022,2025,W2022,5,11845,2928,23,5,0.0023802791028914327,0.0006552295532892133,0.00010487302412214425,0.37691820047013347,0.8041666172146418,2928
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-01,landsat,2023,2025,W2023,1,12399,3057,22,6,0.0007306263367925371,0.00044744480111224275,0.00042628413903185783,-6.869497986055982,0.06470721374687569,3057
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-01,landsat,2023,2025,W2023,2,12300,3156,23,5,0.0010926986921645512,0.00048494495108641835,0.0003876257504459977,0.4637861205542071,0.7377102053145747,3156
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-01,landsat,2023,2025,W2023,3,12429,3027,21,7,0.002832172783395108,0.0005405017506841814,-0.0001616960292131013,0.3653414135819064,0.901107485847628,3027
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-01,landsat,2023,2025,W2023,4,12426,3030,23,5,0.00111552923650574,0.0005614990771968402,0.0003305896775492153,0.14747609140580797,0.5000972384920673,3030
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-01,landsat,2023,2025,W2023,5,12270,3186,23,5,0.0011256422730860467,0.0006944605007001014,0.00046205552992710264,0.4510635102091255,0.7390461328019513,3186
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-01,landsat,2024,2025,W2024,1,12296,3155,23,5,0.0007732768001503816,0.0004847694415949614,0.00046078851850944936,-5.243369085631552,0.1968217229981478,3155
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-01,landsat,2024,2025,W2024,2,12424,3027,21,7,0.002441022704128363,0.00046571267841564247,-0.00012742658962996547,0.3697601518153394,0.8724948782867645,3027
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-01,landsat,2024,2025,W2024,3,12421,3030,23,5,0.0012906054631738437,0.0005232492897646648,0.00017903576192518855,0.3805162027636869,0.6431046503845103,3030
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-01,landsat,2024,2025,W2024,4,12265,3186,23,5,0.001070015476185226,0.0006699485349180903,0.00045551709061313365,0.4147495936901473,0.7218065167028384,3186
landsat_sr_qa_aerosol,primary_no_aerosol_filter,multi_aoi,AOI-01,landsat,2024,2025,W2024,5,12398,3053,22,6,0.0009502618271405167,0.0003799067118443034,0.0003023312119863151,0.3500795448196238,0.6523636062124695,3053
