Sensor,AOI,sensor,history,train_years,baseline,training_FCOVER_mean,prediction_variance,RMSE,MAE,Bias,R2,Pearson_r,n,displayed_OLS_history,is_displayed_OLS_history,OLS_RMSE_displayed,OLS_skill_vs_baseline
MODIS,AOI-01,modis,W2023,2023,ZERO,0.000184726838992,0,0.00177652809386,0.000345105154873,-0.000345105154873,-0.0392161186169,,19878,W2022,False,,
MODIS,AOI-01,modis,W2023,2023,TRAINING_MEAN,0.000184726838992,2.93873587706e-39,0.00175005020058,0.000506357801527,-0.00016037831588,-0.00846940716485,-4.93383782799e-16,19878,W2022,False,,
MODIS,AOI-01,modis,W2024,2024,ZERO,0.000183117019413,0,0.00177652809386,0.000345105154873,-0.000345105154873,-0.0392161186169,,19878,W2022,False,,
MODIS,AOI-01,modis,W2024,2024,TRAINING_MEAN,0.000183117019413,0,0.001750198462,0.000504952550026,-0.00016198813546,-0.00864028619024,,19878,W2022,False,,
MODIS,AOI-01,modis,W2022_2023,2022;2023,ZERO,0.00016228997332,0,0.00177652809386,0.000345105154873,-0.000345105154873,-0.0392161186169,,19878,W2022,False,,
MODIS,AOI-01,modis,W2022_2023,2022;2023,TRAINING_MEAN,0.00016228997332,0,0.00175224880966,0.000486772104116,-0.000182815181552,-0.011004903301,,19878,W2022,False,,
MODIS,AOI-01,modis,W2023_2024,2023;2024,ZERO,0.000183921929203,0,0.00177652809386,0.000345105154873,-0.000345105154873,-0.0392161186169,,19878,W2022,False,,
MODIS,AOI-01,modis,W2023_2024,2023;2024,TRAINING_MEAN,0.000183921929203,7.34683969264e-40,0.00175012414776,0.000505655175776,-0.00016118322567,-0.00855463334548,-4.93383782799e-16,19878,W2022,False,,
MODIS,AOI-01,modis,W2022_2024,2022;2023;2024,ZERO,0.000169232322018,0,0.00177652809386,0.000345105154873,-0.000345105154873,-0.0392161186169,,19878,W2022,False,,
MODIS,AOI-01,modis,W2022_2024,2022;2023;2024,TRAINING_MEAN,0.000169232322018,0,0.00175153811083,0.000492832252752,-0.000175872832855,-0.0101849577703,,19878,W2022,False,,
