model,Sensor,AOI,sensor,configuration,history,n,fraction_raw_lt_0,fraction_raw_gt_1,fraction_clipped,raw_prediction_mean,clipped_prediction_mean,prediction_variance_raw,prediction_variance_clipped,unclipped_RMSE,unclipped_MAE,unclipped_Bias,unclipped_R2,unclipped_Pearson_r,clipped_RMSE,clipped_MAE,clipped_Bias,clipped_R2,clipped_Pearson_r,delta_RMSE_clipping
OLS,MODIS,AOI-00,modis,OLS,W2023_2024,20256,0,0,0,0.55721886422,0.55721886422,0.00744679662819,0.00744679662819,0.0400221940367,0.0314987315065,-0.00859215569439,0.834987543597,0.918938144275,0.0400221940367,0.0314987315065,-0.00859215569439,0.834987543597,0.918938144275,0
OLS,MODIS,AOI-00,modis,OLS,W2022_2024,20256,0,0,0,0.559231190005,0.559231190005,0.00770442599136,0.00770442599136,0.0395079324646,0.0311795790204,-0.00657982990927,0.839200924177,0.918938144275,0.0395079324646,0.0311795790204,-0.00657982990927,0.839200924177,0.918938144275,0
OLS,Sentinel-2,AOI-01,sentinel2,OLS,W2022,19878,0.647499748466,0,0.647499748466,-0.000156764864931,0.000174140023384,8.15414565478e-07,3.06747180783e-07,0.00150344779499,0.000681227844819,-0.000501870019804,0.255716451465,0.585862910429,0.00132426176805,0.000350322956504,-0.000170965131489,0.422556633589,0.838836981918,0.000179186026939
OLS,Sentinel-2,AOI-01,sentinel2,OLS,W2023,19878,0.772562632056,0,0.772562632056,-0.000373094912254,0.000119671446647,8.71973315345e-07,2.83830177628e-07,0.00158681317273,0.00080884826662,-0.000718200067127,0.170887794052,0.585862910429,0.0013406903172,0.000316081907719,-0.000225433708226,0.408140449111,0.847752217818,0.000246122855524
OLS,Sentinel-2,AOI-01,sentinel2,OLS,W2024,19878,0.7448938525,0,0.7448938525,-0.000270166660735,0.000112302572358,6.24929523691e-07,2.108178135e-07,0.00155763637794,0.000708419944631,-0.000615271815607,0.201097321147,0.585862910429,0.00139513382014,0.000325950711539,-0.000232802582515,0.359095312138,0.847070334112,0.0001625025578
OLS,Sentinel-2,AOI-01,sentinel2,OLS,W2022_2023,19878,0.714407888118,0,0.714407888118,-0.000254350896595,0.000142440472459,8.11571930766e-07,2.84330857047e-07,0.00153894004472,0.000727958833505,-0.000599456051467,0.220160703436,0.585862910429,0.00133851071826,0.000331167464451,-0.000202664682414,0.410063291133,0.845172214189,0.000200429326455
OLS,Sentinel-2,AOI-01,sentinel2,OLS,W2023_2024,19878,0.761042358386,0,0.761042358386,-0.000323048110834,0.000116377779097,7.5029480853e-07,2.48239890392e-07,0.00157001587238,0.000760172479303,-0.000668153265706,0.188348116756,0.585862910429,0.00136588981203,0.000320746589372,-0.000228727375776,0.385682275317,0.847579195472,0.000204126060348
OLS,Sentinel-2,AOI-01,sentinel2,OLS,W2022_2024,19878,0.725726934299,0,0.725726934299,-0.000263144527212,0.000131619856495,7.49267038061e-07,2.58876558342e-07,0.00154553317502,0.000723539055211,-0.000608249682085,0.213464411531,0.585862910429,0.00135688619776,0.000328774671504,-0.000213485298377,0.393754449249,0.846005175207,0.00018864697726
OLS,Landsat 8/9,AOI-01,landsat,OLS,W2022,14738,0.433708780024,0,0.433708780024,0.000122785614968,0.000354409298772,7.04831125621e-07,3.32174125652e-07,0.00148804792738,0.000744935647154,-0.000258270175361,0.241841805284,0.515019921234,0.00139512800465,0.00051331196335,-2.66464915574e-05,0.333570661625,0.663535073635,9.2919922728e-05
OLS,Landsat 8/9,AOI-01,landsat,OLS,W2023,14738,0.377120369114,0,0.377120369114,0.00027559984334,0.000514136126336,1.09117914481e-06,5.61538821723e-07,0.00147786796973,0.00083992342772,-0.000105455946989,0.252179668894,0.515019921234,0.00135561868885,0.000601387144725,0.000133080336007,0.37078206965,0.648957063224,0.000122249280876
OLS,Landsat 8/9,AOI-01,landsat,OLS,W2024,14738,0.347197720179,0,0.347197720179,0.000320866491924,0.000516051875827,9.24147151008e-07,4.99633121927e-07,0.00146838151287,0.00081223499185,-6.01892984058e-05,0.261749395924,0.515019921234,0.00137522164806,0.000617049607947,0.000134996085497,0.352452851491,0.640418385265,9.31598648102e-05
OLS,Landsat 8/9,AOI-01,landsat,OLS,W2022_2023,14738,0.402293391234,0,0.402293391234,0.000194724265361,0.000429044354009,8.77539277623e-07,4.33444745476e-07,0.00147778813968,0.000788334832187,-0.000186331524968,0.252260456791,0.515019921234,0.00137130101987,0.000554014743539,4.798856368e-05,0.356139781059,0.655875377852,0.000106487119807
OLS,Landsat 8/9,AOI-01,landsat,OLS,W2023_2024,14738,0.362057266929,0,0.362057266929,0.000299568751488,0.000516169014671,1.0088760466e-06,5.32079716939e-07,0.00147241857929,0.000826335480485,-8.14870388416e-05,0.257684425473,0.515019921234,0.00136509522525,0.000609735217302,0.000135113224341,0.361954147242,0.644741621579,0.000107323354049
OLS,Landsat 8/9,AOI-01,landsat,OLS,W2022_2024,14738,0.381734292306,0,0.381734292306,0.000236408037683,0.000455858766165,8.85878969371e-07,4.51731463265e-07,0.00147329014193,0.000793265668841,-0.000144647752647,0.256805373808,0.515019921234,0.00137242233825,0.000573814940359,7.48029758357e-05,0.355086376347,0.650517170949,0.000100867803683
OLS,MODIS,AOI-01,modis,OLS,W2022,19878,0.360599657913,0,0.360599657913,0.00032973371469,0.000501221300122,7.45027027123e-07,4.33732824431e-07,0.00145691777762,0.000745736821227,-1.53714401823e-05,0.301073028748,0.55165869981,0.00139749949088,0.000574249235796,0.000156116145249,0.356919958203,0.671799242044,5.9418286741e-05
OLS,MODIS,AOI-01,modis,OLS,W2023,19878,0.390985008552,0,0.390985008552,0.000236124597762,0.000409760601308,5.87865159216e-07,3.24037081673e-07,0.00147054051816,0.000694016693612,-0.00010898055711,0.287941450779,0.55165869981,0.00141775287916,0.000520380690067,6.46554464353e-05,0.338145096954,0.68303105934,5.27876389995e-05
OLS,MODIS,AOI-01,modis,OLS,W2024,19878,0.351091659121,0,0.351091659121,0.000186442859685,0.00027436688211,2.12570386047e-07,1.25745094652e-07,0.00154538488043,0.000560757666055,-0.000158662295188,0.213615341162,0.55165869981,0.00153019142187,0.000472833643629,-7.07382727624e-05,0.229002019197,0.668497574416,1.51934585624e-05
