AOI,sensor,rolling_id,target_year,history_length,primary_n,primary_target_n,primary_RMSE,primary_MAE,primary_Bias,primary_R2,primary_Pearson_r,primary_slope,primary_intercept,sensitivity_n,sensitivity_target_n,sensitivity_RMSE,sensitivity_MAE,sensitivity_Bias,sensitivity_R2,sensitivity_Pearson_r,sensitivity_slope,sensitivity_intercept,primary_matched_n,primary_matched_target_n,primary_matched_RMSE,primary_matched_MAE,primary_matched_Bias,primary_matched_R2,primary_matched_Pearson_r,primary_matched_slope,primary_matched_intercept,sensitivity_matched_n,sensitivity_matched_target_n,sensitivity_matched_RMSE,sensitivity_matched_MAE,sensitivity_matched_Bias,sensitivity_matched_R2,sensitivity_matched_Pearson_r,sensitivity_matched_slope,sensitivity_matched_intercept,delta_RMSE_operational,delta_RMSE_matched,delta_MAE_operational,delta_MAE_matched,delta_Bias_operational,delta_Bias_matched
AOI-00,landsat,R2024-H1,2024,1,18920,18920,0.0542160330755278,0.0437617159430832,0.0169635777091307,0.6558046210124928,0.8337866699367015,0.8613305584425672,-0.0021525533660406,18920,18920,0.0542531121198506,0.0436737153486299,0.0161922463374053,0.6553336607010811,0.832372478506768,0.8870575029781231,-0.0207653571405547,18920,18920,0.0542160330755278,0.0437617159430832,0.0169635777091307,0.6558046210124928,0.8337866699367015,0.8613305584425672,-0.0021525533660406,18920,18920,0.0542531121198506,0.0436737153486299,0.0161922463374053,0.6553336607010811,0.832372478506768,0.8870575029781231,-0.0207653571405547,3.7079044322797794e-05,3.7079044322797794e-05,-8.800059445330383e-05,-8.800059445330383e-05,-0.0007713313717254006,-0.0007713313717254006
AOI-00,landsat,R2024-H2,2024,2,18920,18920,0.0554669895597215,0.0448675056412832,0.0209593586172175,0.6397377549615606,0.8337866699367015,0.8498933218618941,0.0090428652785078,18920,18920,0.0556234273474931,0.0449332682391557,0.0208404376764402,0.6377027389871144,0.832372478506769,0.8705058519028057,-0.0056673262209026,18920,18920,0.0554669895597215,0.0448675056412832,0.0209593586172175,0.6397377549615606,0.8337866699367015,0.8498933218618941,0.0090428652785078,18920,18920,0.0556234273474931,0.0449332682391557,0.0208404376764402,0.6377027389871144,0.832372478506769,0.8705058519028057,-0.0056673262209026,0.00015643778777160028,0.00015643778777160028,6.57625978724985e-05,6.57625978724985e-05,-0.00011892094077730134,-0.00011892094077730134
AOI-00,landsat,R2024-H3,2024,3,18920,18920,0.0541550305470345,0.0437275406326013,0.0179888864187821,0.656578745369888,0.8337866699367011,0.8153871606036369,0.027793711773015,18920,18920,0.0542354001097651,0.043685813916701,0.0176455803710015,0.6555586703616616,0.8323724785067677,0.8349007500375728,0.0136170000336638,18920,18920,0.0541550305470345,0.0437275406326013,0.0179888864187821,0.656578745369888,0.8337866699367011,0.8153871606036369,0.027793711773015,18920,18920,0.0542354001097651,0.043685813916701,0.0176455803710015,0.6555586703616616,0.8323724785067677,0.8349007500375728,0.0136170000336638,8.036956273060197e-05,8.036956273060197e-05,-4.172671590030319e-05,-4.172671590030319e-05,-0.000343306047780597,-0.000343306047780597
AOI-00,landsat,R2025-H1,2025,1,20017,20017,0.0564420936508308,0.0458712970417949,-0.0272877164921305,0.6589457461127983,0.8607811944412875,0.7898189829121377,0.0258997636430273,20017,20017,0.0552680226820127,0.0448032193106771,-0.0262180887550503,0.6729869418720409,0.8659744745625939,0.8070537988421351,0.0135525160425603,20017,20017,0.0564420936508308,0.0458712970417949,-0.0272877164921305,0.6589457461127983,0.8607811944412875,0.7898189829121377,0.0258997636430273,20017,20017,0.0552680226820127,0.0448032193106771,-0.0262180887550503,0.6729869418720409,0.8659744745625939,0.8070537988421351,0.0135525160425603,-0.0011740709688180945,-0.0011740709688180945,-0.0010680777311177989,-0.0010680777311177989,0.001069627737080199,0.001069627737080199
AOI-00,landsat,R2025-H2,2025,2,20017,20017,0.0530310819217106,0.0432492653225373,-0.0197504641536073,0.6989225592062891,0.8607811944412884,0.8205371652514329,0.0134593168499455,20017,20017,0.0519318909106576,0.0422324779746601,-0.0188645671788984,0.7112742534208711,0.8659744745625946,0.8415396826540974,-0.0016163571521333,20017,20017,0.0530310819217106,0.0432492653225373,-0.0197504641536073,0.6989225592062891,0.8607811944412884,0.8205371652514329,0.0134593168499455,20017,20017,0.0519318909106576,0.0422324779746601,-0.0188645671788984,0.7112742534208711,0.8659744745625946,0.8415396826540974,-0.0016163571521333,-0.0010991910110529982,-0.0010991910110529982,-0.0010167873478771974,-0.0010167873478771974,0.000885896974708901,0.000885896974708901
AOI-00,landsat,R2025-H3,2025,3,20017,20017,0.0514311399500868,0.042138244427321,-0.0148883960426229,0.7168154590562494,0.8607811944412878,0.8168401225831681,0.0207257722156022,20017,20017,0.0503468620280181,0.0411569508202737,-0.0138235032736904,0.7286298619340335,0.8659744745625945,0.8360469598697554,0.0070119504957696,20017,20017,0.0514311399500868,0.042138244427321,-0.0148883960426229,0.7168154590562494,0.8607811944412878,0.8168401225831681,0.0207257722156022,20017,20017,0.0503468620280181,0.0411569508202737,-0.0138235032736904,0.7286298619340335,0.8659744745625945,0.8360469598697554,0.0070119504957696,-0.0010842779220687007,-0.0010842779220687007,-0.0009812936070473025,-0.0009812936070473025,0.0010648927689325006,0.0010648927689325006
AOI-00,modis,R2024-H1,2024,1,16212,16212,0.0469609231337881,0.037881294005967,0.009768128020213,0.7352680676754622,0.8666623813367541,0.9473292618979152,-0.0814248949855989,16212,16212,0.0467581721128988,0.0376370514860212,0.00937782565495,0.7375490620577638,0.8675474508582388,0.9649530652693524,-0.0936727499520913,16212,16212,0.0469609231337881,0.037881294005967,0.009768128020213,0.7352680676754622,0.8666623813367541,0.9473292618979152,-0.0814248949855989,16212,16212,0.0467581721128988,0.0376370514860212,0.00937782565495,0.7375490620577638,0.8675474508582388,0.9649530652693524,-0.0936727499520913,-0.00020275102088929825,-0.00020275102088929825,-0.0002442425199458004,-0.0002442425199458004,-0.00039030236526300076,-0.00039030236526300076
AOI-00,modis,R2024-H2,2024,2,16212,16212,0.0465865170269773,0.0372497972336459,0.0057805861365,0.7394725052668678,0.8666895600046245,0.9693154995005444,-0.0995518481810702,16212,16212,0.0464310006260438,0.0370890770587565,0.0055688643206949,0.7412090022016912,0.867555294044724,0.986361150864076,-0.1112601456310801,16212,16212,0.0465865170269773,0.0372497972336459,0.0057805861365,0.7394725052668678,0.8666895600046245,0.9693154995005444,-0.0995518481810702,16212,16212,0.0464310006260438,0.0370890770587565,0.0055688643206949,0.7412090022016912,0.867555294044724,0.986361150864076,-0.1112601456310801,-0.00015551640093350305,-0.00015551640093350305,-0.00016072017488940465,-0.00016072017488940465,-0.00021172181580510034,-0.00021172181580510034
AOI-00,modis,R2024-H3,2024,3,16212,16212,0.0466259156172687,0.037397439119613,0.0071070110318137,0.7390316585571604,0.8666782761554294,0.959166956931768,-0.0916989104576281,16212,16212,0.0464518700964212,0.037211003748551,0.0069588506215405,0.7409763109069576,0.8675520060537866,0.9745594246817104,-0.1022745947365089,16212,16212,0.0466259156172687,0.037397439119613,0.0071070110318137,0.7390316585571604,0.8666782761554294,0.959166956931768,-0.0916989104576281,16212,16212,0.0464518700964212,0.037211003748551,0.0069588506215405,0.7409763109069576,0.8675520060537866,0.9745594246817104,-0.1022745947365089,-0.0001740455208475017,-0.0001740455208475017,-0.00018643537106199926,-0.00018643537106199926,-0.00014816041027319957,-0.00014816041027319957
AOI-00,modis,R2025-H1,2025,1,18641,18641,0.0444963977992049,0.0342448811228304,-0.0127998791318279,0.7924045289014423,0.9039382033914616,0.879818584535097,-0.0477849358123972,18641,18641,0.0440742069312869,0.0339328519704269,-0.0121591781051345,0.7963252559742667,0.9052986650997884,0.8952527812765313,-0.0581974155692724,18641,18641,0.0444963977992049,0.0342448811228304,-0.0127998791318279,0.7924045289014423,0.9039382033914616,0.879818584535097,-0.0477849358123972,18641,18641,0.0440742069312869,0.0339328519704269,-0.0121591781051345,0.7963252559742667,0.9052986650997884,0.8952527812765313,-0.0581974155692724,-0.00042219086791799726,-0.00042219086791799726,-0.00031202915240350487,-0.00031202915240350487,0.0006407010266933997,0.0006407010266933997
