sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,status,held_out_year,train_n,test_n,RMSE,MAE,Bias,R2,Pearson_r,n
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2023;2024,2025,W2023_2024,COMPLETED,2023,12687,16713,0.0477693466411988,0.03876899287471888,-0.005728696026620438,0.7684908909909749,0.8910181624040407,16713.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2023;2024,2025,W2023_2024,COMPLETED,2024,16713,12687,0.062401953977280336,0.0486148929875229,0.002243650827886244,0.5464004600135323,0.7545822584143445,12687.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,29400,15086,0.061057591156693417,0.049258829734574024,-0.0023322946230756704,0.6344380163618017,0.7973517441889043,15086.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,27773,16713,0.04588648155296695,0.03706460023831039,-0.0019449037473794398,0.7863814327681904,0.8911136390754252,16713.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-00,sentinel2,2022;2023;2024,2025,W2022_2024,COMPLETED,2024,31799,12687,0.062175282210836076,0.04857311428966718,0.003598501891934792,0.5496898271444668,0.7545793359291484,12687.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,COMPLETED,2022,15456,14773,0.001267835011034911,0.0005780247082811444,0.000419636815999123,0.44912523453002473,0.7239733625867918,14773.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,COMPLETED,2023,14773,15456,0.0013888730984508168,0.00042178541918836126,0.0001561472693991692,0.4827269455502887,0.7956927350297589,15456.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,COMPLETED,2023,15451,15456,0.0013977671651307026,0.0005521398733605321,0.00031190874669778483,0.476080705657552,0.7645621571548807,15456.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,COMPLETED,2024,15456,15451,0.0012582875864865205,0.00046630236078049926,0.00024494697554916105,0.48895671880892577,0.750027060240232,15451.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2022,30907,14773,0.00128319461855105,0.0005876077989994603,0.0004246470662577901,0.43569687320151684,0.7176274005545903,14773.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2023,30224,15456,0.0013927708777380047,0.0004821524831004506,0.00022745514986925863,0.47981948714025,0.7791905613191793,15456.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,COMPLETED,2024,30229,15451,0.0012678296422617568,0.0004188697589146266,0.00017820984591099886,0.48117647314426804,0.7591969060704192,15451.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,modis,2022,2025,W2022,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,modis,2023,2025,W2023,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,modis,2024,2025,W2024,NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,modis,2022;2023,2025,W2022_2023,COMPLETED,2022,15456,15456,0.0013906902671732444,0.0003708827534618538,0.00014404300033829192,0.3075505042799487,0.6635490334776737,15456.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,modis,2022;2023,2025,W2022_2023,COMPLETED,2023,15456,15456,0.0016075600896282723,0.0005940841272183291,0.0003212384264447487,0.3070065096620712,0.6329829151293731,15456.0
non_overlapping_temporal_composition,primary_full,multi_aoi,AOI-01,modis,2023;2024,2025,W2023_2024,COMPLETED,2023,15456,15456,0.0017271679914961174,0.00042621141794321114,7.648268350470949e-05,0.20004807885246012,0.6196349359885648,15456.0
