sensitivity_name,variant,sensor,AOI,primary_n,sensitivity_n,matched_n,retention_fraction,primary_RMSE,sensitivity_RMSE,delta_RMSE_operational,primary_matched_RMSE,sensitivity_matched_RMSE,delta_RMSE_matched,delta_MAE,delta_Bias,delta_slope,delta_intercept,primary_history,sensitivity_history,history_changed,rolling_origin_direction_changed,block_contrast_direction_changes,delta_NDVI_mean,delta_NDVI_abs_mean,delta_NDVI_abs_max,validation_status
aggregation_order,reflectance_first,landsat,AOI-00,96675,96675,96675,1.0,0.0476226610050057,0.0461646461180528,-0.0014580148869529005,0.0476226610050057,0.0461646461180528,-0.0014580148869529005,-0.0012019675317669065,0.0011698520035474,0.02518220271754612,-0.018137927569611398,W2023,W2023,False,False,0,0.00248709238023298,0.004409194569586783,0.11517244577407837,PASS
aggregation_order,reflectance_first,landsat,AOI-01,84787,84787,84787,1.0,0.0013556186888521,0.0013738208453511,1.8202156499000106e-05,0.0013556186888521,0.0013738208453511,1.8202156499000106e-05,3.4281846334000216e-06,-8.333842341899997e-06,-0.0013629886441122036,6.636167347300048e-05,W2023,W2023,False,False,0,6.852746044497458e-05,0.0002383448745601359,0.033405564725399,PASS
aggregation_order,reflectance_first,landsat,AOI-02,28225,28225,28225,1.0,0.0564231055150082,0.0569163852165491,0.000493279701540901,0.0564231055150082,0.0569163852165491,0.000493279701540901,0.00036143003778239813,6.862236787010022e-05,-0.007246541853657584,0.004444584874748803,W2022,W2022,False,False,0,-5.244535350292814e-06,0.004538649459715117,0.11079561710357666,PASS
aggregation_order,reflectance_first,landsat,AOI-03,58075,58075,58075,1.0,0.0352532708179777,0.0345430840130416,-0.0007101868049361054,0.0352532708179777,0.0345430840130416,-0.0007101868049361054,-0.0005872037082053985,0.0003409665632353534,-0.0036093653574365003,0.0005216460115597954,W2022,W2022,False,False,0,0.0006543235992832372,0.0031478394384347984,0.06144601106643677,PASS
aggregation_order,reflectance_first,modis,AOI-00,101272,101272,101272,1.0,0.0388677931786501,0.0381732767095813,-0.0006945164690687969,0.0388677931786501,0.0381732767095813,-0.0006945164690687969,-0.0004278430796389003,0.0006278001136810717,0.02133678590507715,-0.014603110003028899,W2022_2023,W2022_2023,False,False,0,0.0007296852152863756,0.001522745895247666,0.1999750137329101,PASS
aggregation_order,reflectance_first,modis,AOI-01,99390,99390,99390,1.0,0.0013974994908815,0.001405136781061,7.637290179500012e-06,0.0013974994908815,0.001405136781061,7.637290179500012e-06,1.0257935479000098e-06,-2.4861825120000094e-06,-0.0008776393578630026,4.754620820069961e-05,W2022,W2022,False,False,1,5.687427879279309e-05,0.00010147679636249013,0.10162660479545589,PASS
aggregation_order,reflectance_first,modis,AOI-02,71160,71160,71160,1.0,0.0481532800249521,0.0486337393841642,0.0004804593592121001,0.0481532800249521,0.0486337393841642,0.0004804593592121001,0.0003494323995273038,-0.0004920544905478996,-0.000630846946588326,0.00013603368079298517,W2023,W2023,False,False,0,-0.00020447852118270592,0.0017898049474625254,0.07227098941802979,PASS
aggregation_order,reflectance_first,modis,AOI-03,88240,88240,88240,1.0,0.0282901187305938,0.028285572632217,-4.546098376800867e-06,0.0282901187305938,0.028285572632217,-4.546098376800867e-06,-0.00015938223314619984,-0.0002371072048076,-0.006059719174643208,0.000734912212094499,W2024,W2023_2024,True,False,0,0.0006825378704191283,0.0013557716597003336,0.04688185453414917,PASS
aggregation_order,reflectance_first,sentinel2,AOI-00,93512,93512,93512,1.0,0.0630834398164499,0.0625751132208032,-0.000508326595646702,0.0630834398164499,0.0625751132208032,-0.000508326595646702,-0.0007986876481094959,0.0014394467374781,0.01765173991540947,-0.011842550142915007,W2022,W2022,False,True,1,0.0030653994438288867,0.00671876220138568,0.42105880007147795,PASS
aggregation_order,reflectance_first,sentinel2,AOI-01,99241,99241,99241,1.0,0.001324261768048,0.0013964322370526,7.21704690046e-05,0.001324261768048,0.0013964322370526,7.21704690046e-05,7.3689836790000185e-06,-1.4676315191299987e-05,-0.0040355845541079904,0.0001368263377356997,W2022,W2022,False,False,1,-8.127502354840896e-05,0.00026991482316855085,0.1515127345919609,PASS
